SD_interpolation,Inpunt_SD,ERA5_or_measurement
118.91785998900241,114.15904998779297,ERA5
135.52398543910837,116.44967651367188,ERA5
133.7153639641708,118.32685852050781,ERA5
116.83167489408079,120.14959716796875,ERA5
100.98548956059967,101.57232666015625,ERA5
87.46766512928413,82.29185485839844,ERA5
78.63692894362794,69.72651672363281,ERA5
105.85961571417435,107.06596374511719,ERA5
112.8624324648596,104.87020874023438,ERA5
110.74169964420138,102.12962341308594,ERA5
101.17596806594298,103.88567352294922,ERA5
88.6905200282005,85.38262176513672,ERA5
78.35376431406249,77.22795104980469,ERA5
71.34198326068804,67.88890075683594,ERA5
73.75435638427722,73.75435638427734,ERA5
92.97582972675762,83.79727935791016,ERA5
90.83869544967244,80.92201232910156,ERA5
85.19038127148079,79.21430969238281,ERA5
77.87429563213128,74.79305267333984,ERA5
70.49707656465804,66.46600341796875,ERA5
57.21687698364209,57.21687698364258,ERA5
120.51681846480464,80.0,Measurement
143.45392834399016,190.0,Measurement
144.6159328479035,200.0,Measurement
115.48027504581036,150.0,Measurement
128.85918652333274,125.0,Measurement
149.0722679618288,195.0,Measurement
117.65747807789367,135.0,Measurement
120.32696858394178,95.0,Measurement
145.28298546636202,165.0,Measurement
111.83639420712163,90.0,Measurement
