"","X","ID_clean","ID_preclean","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","middleTime","granule_time","time_difference","granule_id","orbitProp","pathNr","frameNr","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle","points_mask"
"11",10,1,2,"AC-38","A","AC-38A","2017-02-26","50",50,-10,16.02861195,65.89659453,546872.4418,7308768.327,"08:55:00","05:28:38","4:27:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0165821755295632","0.111631987241056","40.2161373784346","0"
"12",11,145,153,"AC-31","B","AC-31B","2017-02-26","60",60,-8,15.63274264,66.01705338,528698.4479,7321955.65,"13:52:30","05:28:38","9:24:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0109811684669836","0.081820065836284","38.4972375850305","0"
"13",12,144,152,"AC-37","B","AC-37B","2017-02-26","70",70,-8,15.93669383,65.93795328,542615.3144,7313312.254,"11:27:30","05:28:38","6:59:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0164468964046193","0.131320524455595","40.7693362860824","0"
"14",13,2,3,"AC-37","A","AC-37A","2017-02-26","45",45,-8,15.84881121,65.9380027,538617.1852,7313260.876,"11:27:30","05:28:38","6:59:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0121483348064503","0.0775628721782353","39.4399885422149","0"
"15",14,288,301,"AC-37","C","AC-37C","2017-02-26","20",20,-8,15.89264784,65.90691896,540660.7363,7309824.185,"11:27:30","05:28:38","6:59:00","S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807","DESCENDING",66,371,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/54_2017-02-26_clip_1000/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif","0.0146811713224516","0.0937090987318351","40.6230420705109","0"
"16",15,293,306,"AC-33","C","AC-33C","2017-03-04","40",40,-7,16.08053297,66.03404496,548974.3517,7324126.804,"14:57:30","05:29:31","10:28:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0249807623259299","0.133250245650354","38.7324537027862","0"
"17",16,292,305,"AC-41","C","AC-41C","2017-03-04","125",125,-9,16.30759412,65.80478255,559797.0704,7298773.267,"12:50:00","05:29:31","8:21:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0138773345445927","0.0774557332418061","35.9656014530823","0"
"18",17,291,304,"AC-40","C","AC-40C","2017-03-04","155",155,-9,16.13319552,65.84112738,551749.3676,7302668.783,"11:12:30","05:29:31","6:43:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.019988906191566","0.0974773165484813","37.2980935804635","0"
"19",18,290,303,"AC-39","C","AC-39C","2017-03-04","30",30,-15,15.99713695,65.85558969,545510.8611,7304175.201,"09:35:00","05:29:31","5:06:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0226331964933991","0.133299916837481","34.6648052134424","0"
"20",19,149,157,"AC-33","B","AC-33B","2017-03-04","30",30,-7,16.12502754,66.06502455,550928.8997,7327614.924,"14:57:30","05:29:31","10:28:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0297011584134298","0.207348068306022","28.1265403390813","0"
"21",20,148,156,"AC-41","B","AC-41B","2017-03-04","13",13,-9,16.35196411,65.83569752,561751.7168,7302261.377,"12:50:00","05:29:31","8:21:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0165591145689179","0.0950159554730527","34.5928472291724","0"
"22",21,146,154,"AC-39","B","AC-39B","2017-03-04","70",70,-15,16.0215596,65.89003991,546562.9883,7308032.57,"09:35:00","05:29:31","5:06:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0197652255428936","0.113281202654701","38.3709564242988","0"
"23",22,147,155,"AC-40","B","AC-40B","2017-03-04","75",75,-9,16.17741866,65.87209272,553703.9877,7306156.875,"11:12:30","05:29:31","6:43:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.019983422513949","0.10753750140385","33.5751165138091","0"
"24",23,4,5,"AC-39","A","AC-39A","2017-03-04","60",60,-15,15.93640688,65.88145457,542696.2178,7307015.189,"09:35:00","05:29:31","5:06:00","S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4","DESCENDING",66,373,"C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_1000/53_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.0166258912454154","0.113773167574386","33.4291320466476","0"
