SD_interpolation,Inpunt_SD,ERA5_or_measurement
118.91785998900241,35.274662017822266,ERA5
135.52398543910837,30.392953872680664,ERA5
133.7153639641708,29.974538803100586,ERA5
116.83167489408079,29.558429718017578,ERA5
100.98548956059967,23.973495483398438,ERA5
87.46766512928413,16.84442138671875,ERA5
78.63692894362794,7.584721565246582,ERA5
105.85961571417435,15.254341125488281,ERA5
112.8624324648596,12.826591491699219,ERA5
110.74169964420138,13.032931327819824,ERA5
101.17596806594298,11.955257415771484,ERA5
88.6905200282005,2.730828762054443,ERA5
78.35376431406249,2.569606065750122,ERA5
71.34198326068804,2.400238037109375,ERA5
73.75435638427722,1.463067531585693,ERA5
92.97582972675762,1.626317620277405,ERA5
90.83869544967244,1.92065966129303,ERA5
85.19038127148079,1.931678295135498,ERA5
77.87429563213128,1.822354674339294,ERA5
70.49707656465804,1.676758885383606,ERA5
57.21687698364209,1.630585432052612,ERA5
143.45392834399016,120.0,Measurement
144.6159328479035,62.0,Measurement
141.76193722654352,110.0,Measurement
149.0722679618288,92.0,Measurement
135.35919281555118,150.0,Measurement
145.28298546636202,80.0,Measurement
