SD_interpolation,Inpunt_SD,ERA5_or_measurement
118.91785998900241,127.7781753540039,ERA5
135.52398543910837,127.65177154541016,ERA5
133.7153639641708,123.68440246582031,ERA5
116.83167489408079,119.64279174804688,ERA5
100.98548956059967,99.98274230957031,ERA5
87.46766512928413,78.0769271850586,ERA5
78.63692894362794,61.36564636230469,ERA5
105.85961571417435,125.53763580322266,ERA5
112.8624324648596,115.50310516357422,ERA5
110.74169964420138,100.87145233154297,ERA5
101.17596806594298,95.45327758789062,ERA5
88.6905200282005,73.9798812866211,ERA5
78.35376431406249,65.91864776611328,ERA5
71.34198326068804,57.1187858581543,ERA5
73.75435638427722,103.25660705566406,ERA5
92.97582972675762,91.38725280761719,ERA5
90.83869544967244,74.37350463867188,ERA5
85.19038127148079,66.00286102294922,ERA5
77.87429563213128,58.643638610839844,ERA5
70.49707656465804,50.510562896728516,ERA5
57.21687698364209,43.87305450439453,ERA5
103.53508435314443,45.0,Measurement
102.4713612160485,70.0,Measurement
98.77748215971017,15.0,Measurement
99.4463168839992,70.0,Measurement
99.35608447493922,40.0,Measurement
98.63204896804629,35.0,Measurement
