granule_ID,orbitProp,pathNr,frameNr,date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon
S1A_IW_SLC__1SDV_20210412T052938_20210412T053005_037413_0468E0_B2A5,DESCENDING,66,369,2021-04-12,2021-04-12T05:29:38.000Z,2021-04-12,"[95, 96, 97, 116, 117, 118, 238, 239, 240, 260, 261, 262, 382, 383, 384, 403, 404, 405]","['AC-22A', 'AC-21A', 'AC-23A', 'AC-26A', 'AC-25A', 'AC-24A', 'AC-22B', 'AC-21B', 'AC-23B', 'AC-26B', 'AC-25B', 'AC-24B', 'AC-22C', 'AC-21C', 'AC-23C', 'AC-26C', 'AC-25C', 'AC-24C']","['140', '60', '100', '120', '115', '90', '185', '100', '145', '90', '145', '85', '140', '90', '45', '75', '150', '35']","[-5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0, -5.0, -5.0, -5.0, -11.0, nan, -10.0]",18,"[[18.172743, 65.81469], [19.23041, 67.39801], [13.185522, 67.898643], [12.502937, 66.296097], [18.172743, 65.81469]]"
S1A_IW_SLC__1SDV_20210328T162310_20210328T162337_037201_046194_6525,ASCENDING,29,213,2021-03-28,2021-03-28T16:23:10.000Z,2021-03-28,"[114, 115, 258, 259, 401, 402]","['AC-29A', 'AC-28A', 'AC-29B', 'AC-28B', 'AC-29C', 'AC-28C']","['90', '110', '85', '40', '90', '30']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[13.618999, 66.428658], [14.61158, 64.842316], [20.084551, 65.314568], [19.438753, 66.918129], [13.618999, 66.428658]]"
S1A_IW_SLC__1SDV_20210326T052149_20210326T052217_037165_04604D_B02F,DESCENDING,168,374,2021-03-26,2021-03-26T05:21:49.000Z,2021-03-26,"[110, 111, 112, 113, 254, 255, 256, 257, 397, 398, 399, 400]","['AC-35A', 'AC-36A', 'AC-34A', 'AC-30A', 'AC-35B', 'AC-36B', 'AC-34B', 'AC-30B', 'AC-35C', 'AC-36C', 'AC-34C', 'AC-30C']","['75', '110', '120', '100', '100', '80', '210', '180', '90', '125', '30', '50']","[-8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0, -8.0, -8.0, -6.0, -6.0]",12,"[[19.261038, 64.240524], [20.250898, 65.885826], [14.575182, 66.366478], [13.927164, 64.704613], [19.261038, 64.240524]]"
S1A_IW_SLC__1SDV_20210326T052125_20210326T052152_037165_04604D_F2B3,DESCENDING,168,369,2021-03-26,2021-03-26T05:21:25.000Z,2021-03-26,"[257, 400]","['AC-30B', 'AC-30C']","['180', '50']","[-6.0, -6.0]",2,"[[20.17613, 65.758644], [21.228477, 67.342133], [15.205741, 67.840767], [14.52622, 66.238258], [20.17613, 65.758644]]"
S1B_IW_SLC__1SDV_20210318T053734_20210318T053801_026065_031C24_8AB1,DESCENDING,139,374,2021-03-18,2021-03-18T05:37:34.000Z,2021-03-18,"[106, 107, 108, 251, 252, 393, 394, 395, 396]","['AC-38A', 'AC-40A', 'AC-39A', 'AC-40B', 'AC-39B', 'AC-38C', 'AC-40C', 'AC-39C', 'AC-37C']","['60', '145', '60', '85', '100', '85', '160', '80', '25']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",9,"[[15.262198, 64.305069], [16.224564, 65.892532], [10.490171, 66.380096], [9.861957, 64.776268], [15.262198, 64.305069]]"
S1B_IW_SLC__1SDV_20210318T053709_20210318T053736_026065_031C24_BE24,DESCENDING,139,369,2021-03-18,2021-03-18T05:37:09.000Z,2021-03-18,"[106, 107, 108, 109, 250, 251, 252, 253, 393, 394, 395, 396]","['AC-38A', 'AC-40A', 'AC-39A', 'AC-37A', 'AC-38B', 'AC-40B', 'AC-39B', 'AC-37B', 'AC-38C', 'AC-40C', 'AC-39C', 'AC-37C']","['60', '145', '60', '70', '100', '85', '100', '30', '85', '160', '80', '25']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",12,"[[16.144054, 65.765816], [17.202385, 67.349228], [11.119601, 67.854752], [10.437969, 66.251953], [16.144054, 65.765816]]"
S1A_IW_SLC__1SDV_20210316T162309_20210316T162336_037026_045B8A_178D,ASCENDING,29,213,2021-03-16,2021-03-16T16:23:09.000Z,2021-03-16,"[104, 105, 248, 249, 391, 392]","['AC-42A', 'AC-31A', 'AC-42B', 'AC-31B', 'AC-42C', 'AC-31C']","['50', '140', '85', '80', '90', '150']","[-10.0, -5.0, -10.0, -5.0, -10.0, -5.0]",6,"[[13.617011, 66.42836], [14.609632, 64.842285], [20.082888, 65.314674], [19.43701, 66.917961], [13.617011, 66.42836]]"
S1B_IW_SLC__1SDV_20210315T163051_20210315T163119_026028_031B07_CEBB,ASCENDING,102,215,2021-03-15,2021-03-15T16:30:51.000Z,2021-03-15,"[103, 247, 390]","['AC-41A', 'AC-41B', 'AC-41C']","['90', '140', '100']","[-10.0, -10.0, -10.0]",3,"[[11.360292, 67.084694], [12.414923, 65.444458], [17.788858, 65.899879], [17.096907, 67.558167], [11.360292, 67.084694]]"
S1B_IW_SLC__1SDV_20210315T163023_20210315T163053_026028_031B07_05A8,ASCENDING,102,210,2021-03-15,2021-03-15T16:30:23.000Z,2021-03-15,"[103, 247, 390]","['AC-41A', 'AC-41B', 'AC-41C']","['90', '140', '100']","[-10.0, -10.0, -10.0]",3,"[[12.314628, 65.575813], [13.337245, 63.81702], [18.404367, 64.258858], [17.723825, 66.033798], [12.314628, 65.575813]]"
S1B_IW_SLC__1SDV_20210310T162220_20210310T162250_025955_031898_ED3F,ASCENDING,29,212,2021-03-10,2021-03-10T16:22:20.000Z,2021-03-10,"[102, 245, 246, 389]","['AC-33A', 'AC-32B', 'AC-33B', 'AC-33C']","['50', '240+', '90', '75']","[-20.0, -15.0, -20.0, -20.0]",4,"[[13.998742, 66.182693], [15.059929, 64.425514], [20.232845, 64.871834], [19.53026, 66.646309], [13.998742, 66.182693]]"
