,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
292,423,442,AC-38,C,AC-38C,2022-03-15,100,100,-17.0,16.11606048,65.89957289,550851.1264,7309168.337,07:18:30,2022-03-16,plus,0.0,-5.6
119,168,176,AC-46,B,AC-46B,2018-03-31,110,110,-10.0,15.26675247,66.15918547,512031.4368,7337679.111,10:32:30,2018-04-01,plus,0.2,-8.9
290,422,441,AC-23,C,AC-23C,2022-03-15,75,75,-1.0,15.40240613,66.19702191,518122.7213,7341929.176,10:37:00,2022-03-16,plus,0.0,-5.6
121,169,177,AC-43,B,AC-43B,2018-03-31,40,40,-10.0,15.29647724,66.09173882,513407.6892,7330167.287,08:52:30,2018-04-01,plus,0.2,-8.9
123,170,178,AC-23,B,AC-23B,2018-03-30,120,120,-8.0,15.45909231,66.2246367,520653.0315,7345024.777,09:10:00,2018-03-31,plus,0.1,-8.2
288,421,440,AC-29,C,AC-29C,2022-03-14,50,50,-8.4,16.21388604,66.13022809,554810.2752,7334956.739,06:34:30,2022-03-15,plus,0.0,-4.5
125,171,179,AC-21,B,AC-21B,2018-03-30,80,80,-5.0,15.58142379,66.32569497,526051.5524,7356334.762,10:47:30,2018-03-31,plus,0.1,-8.2
127,172,180,AC-22,B,AC-22B,2018-03-30,60,60,-5.0,15.6976547,66.29959822,531291.7265,7353479.21,12:35:00,2018-03-31,plus,0.1,-8.2
286,420,439,AC-26,C,AC-26C,2022-03-14,70,70,-6.0,16.12773116,66.17593417,550828.7822,7339978.009,08:07:00,2022-03-15,plus,0.0,-4.5
129,173,181,AC-42,B,AC-42B,2018-03-29,110,110,-10.0,15.76104404,65.87253495,534712.811,7305912.951,11:30:00,2018-03-30,plus,0.1,-7.2
131,174,182,AC-37,B,AC-37B,2018-03-15,45,45,-15.0,15.93669383,65.93795328,542615.3144,7313312.254,12:55:00,2018-03-16,plus,0.0,-17.6
284,419,438,AC-25,C,AC-25C,2022-03-14,190,190,-2.0,15.92966596,66.18915009,541880.3604,7341304.369,09:48:00,2022-03-15,plus,0.0,-4.5
133,176,184,AC-39,B,AC-39B,2018-03-15,120,120,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,11:19:00,2018-03-16,plus,0.0,-17.6
169,268,281,AC-28,B,AC-28B,2022-03-12,50,50,-3.0,15.93648025,66.15941633,542236.8719,7337994.957,07:00:00,2022-03-13,plus,0.0,-3.4
170,269,282,AC-32,B,AC-32B,2022-03-12,130,130,0.0,15.96743701,66.06109946,543802.1738,7327058.39,09:26:30,2022-03-13,plus,0.0,-3.4
172,270,283,AC-30,B,AC-30B,2022-03-13,230,230,-5.0,16.3475215,66.10802569,560896.7912,7332605.764,10:54:30,2022-03-14,plus,0.0,-3.6
203,291,304,AC-40,C,AC-40C,2017-03-04,155,155,-9.0,16.13319552,65.84112738,551749.3676,7302668.783,11:12:30,2017-03-05,plus,0.0,-16.8
248,331,344,AC-26,C,AC-26C,2018-04-02,50,50,-5.0,16.12773116,66.17593417,550828.7822,7339978.009,13:45:00,2018-04-03,plus,0.0,-9.8
207,293,306,AC-33,C,AC-33C,2017-03-04,40,40,-7.0,16.08053297,66.03404496,548974.3517,7324126.804,14:57:30,2017-03-05,plus,0.0,-16.8
209,294,307,AC-32,C,AC-32C,2017-03-05,185,185,-14.0,15.94437763,66.0264787,542816.3157,7323183.87,10:27:30,2017-03-06,plus,0.0,-14.9
246,330,343,AC-25,C,AC-25C,2018-04-02,125,125,-5.0,15.92966596,66.18915009,541880.3604,7341304.369,15:20:00,2018-04-03,plus,0.0,-9.8
211,295,308,AC-27,C,AC-27C,2017-03-05,140,140,-10.0,15.80351497,66.07257278,536364.3222,7328232.328,12:15:00,2017-03-06,plus,0.0,-14.9
213,296,309,AC-30,C,AC-30C,2017-03-06,35,35,-10.0,16.40948664,66.08242527,563760.9059,7329814.416,10:15:00,2017-03-07,plus,0.1,-14.9
244,329,342,AC-24,C,AC-24C,2018-03-30,30,30,-5.0,15.78131809,66.18466847,535204.0008,7340713.562,14:02:30,2018-03-31,plus,0.1,-8.2
215,297,310,AC-34,C,AC-34C,2017-03-06,45,45,-10.0,16.38630033,66.02781699,562846.7651,7323705.379,11:20:00,2017-03-07,plus,0.1,-14.9
217,298,311,AC-35,C,AC-35C,2017-03-06,75,75,-10.0,16.63015012,66.00485918,573966.1625,7321413.04,12:47:30,2017-03-07,plus,0.1,-14.9
242,328,341,AC-33,C,AC-33C,2018-03-28,70,70,-10.0,16.08053297,66.03404496,548974.3517,7324126.804,08:35:00,2018-03-29,plus,0.1,-9.0
219,312,325,AC-46,C,AC-46C,2018-03-31,90,90,-10.0,15.18055162,66.16762289,508140.7873,7338605.705,10:32:30,2018-04-01,plus,0.2,-8.9
241,327,340,AC-32,C,AC-32C,2018-03-28,190,190,-5.0,15.94437763,66.0264787,542816.3157,7323183.87,14:37:30,2018-03-29,plus,0.1,-9.0
221,313,326,AC-43,C,AC-43C,2018-03-31,80,80,-10.0,15.2080681,66.09142172,509409.665,7330115.849,08:52:30,2018-04-01,plus,0.2,-8.9
240,326,339,AC-28,C,AC-28C,2018-03-28,30,30,-8.0,15.90602943,66.12572896,540917.8704,7334220.113,10:47:30,2018-03-29,plus,0.1,-9.0
223,314,327,AC-23,C,AC-23C,2018-03-30,65,65,-8.0,15.40240613,66.19702191,518122.7213,7341929.176,09:10:00,2018-03-31,plus,0.1,-8.2
239,325,338,AC-27,C,AC-27C,2018-03-28,220,220,-8.0,15.80351497,66.07257278,536364.3222,7328232.328,13:10:00,2018-03-29,plus,0.1,-9.0
225,315,328,AC-21,C,AC-21C,2018-03-30,25,25,-5.0,15.54403889,66.2931197,524408.0744,7352688.726,10:47:30,2018-03-31,plus,0.1,-8.2
227,316,329,AC-22,C,AC-22C,2018-03-30,65,65,-5.0,15.74886754,66.27024759,533627.8269,7350234.324,12:35:00,2018-03-31,plus,0.1,-8.2
229,317,330,AC-42,C,AC-42C,2018-03-29,110,110,-10.0,15.68504701,65.89042994,531224.7772,7307867.528,11:30:00,2018-03-30,plus,0.1,-7.2
231,318,331,AC-37,C,AC-37C,2018-03-15,10,10,-15.0,15.89264784,65.90691896,540660.7363,7309824.185,12:55:00,2018-03-16,plus,0.0,-17.6
235,321,334,AC-38,C,AC-38C,2018-03-15,130,130,-15.0,16.11606048,65.89957289,550851.1264,7309168.337,10:00:00,2018-03-16,plus,0.0,-17.6
205,292,305,AC-41,C,AC-41C,2017-03-04,125,125,-9.0,16.30759412,65.80478255,559797.0704,7298773.267,12:50:00,2017-03-05,plus,0.0,-16.8
250,332,345,AC-29,C,AC-29C,2018-04-02,85,85,-5.0,16.21388604,66.13022809,554810.2752,7334956.739,12:12:30,2018-04-03,plus,0.0,-9.8
265,390,409,AC-41,C,AC-41C,2021-03-15,100,100,-10.0,16.30759412,65.80478255,559797.0704,7298773.267,05:54:00,2021-03-16,plus,0.1,-7.6
201,290,303,AC-39,C,AC-39C,2017-03-04,30,30,-15.0,15.99713695,65.85558969,545510.8611,7304175.201,09:35:00,2017-03-05,plus,0.0,-16.8
174,271,284,AC-34,B,AC-34B,2022-03-13,85,85,,16.41726798,66.06140904,564165.8276,7327480.284,08:59:00,2022-03-14,plus,0.0,-3.6
1,4,5,AC-39,A,AC-39A,2017-03-04,60,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,09:35:00,2017-03-05,plus,0.0,-16.8
176,272,285,AC-35,B,AC-35B,2022-03-13,120,120,-8.4,16.55437651,66.02318273,570477.9784,7323367.637,05:40:30,2022-03-14,plus,0.0,-3.6
264,359,377,AC-42,C,AC-42C,2020-02-27,135,135,-15.0,15.68504701,65.89042994,531224.7772,7307867.528,11:45:00,2020-02-28,plus,0.3,-13.4
