ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime
44,46,AC-26,A,AC-26A,2018-04-02,140,140,-5.0,16.04425364,66.16381694,547089.1167,7338562.269,13:45:00
45,47,AC-29,A,AC-29A,2018-04-02,145,145,-5.0,16.14107316,66.10983041,551564.2798,7332621.634,12:12:30
46,48,AC-30,A,AC-30A,2018-03-23,110,110,-10.0,16.32392487,66.07345377,559911.9498,7328730.193,13:00:00
47,49,AC-34,A,AC-34A,2018-03-23,130,130,-10.0,16.33018168,66.05549638,560237.5303,7326734.951,11:22:30
48,50,AC-35,A,AC-35A,2018-03-23,90,90,-10.0,16.55332624,65.98731394,570529.3876,7319369.401,09:32:30
49,51,AC-36,A,AC-36A,2018-03-23,125,125,-15.0,16.75175007,65.99519203,579512.604,7320484.624,08:12:30
50,52,AC-43,A,AC-43A,2019-04-03,250+,250,-10.0,15.25159463,66.12264974,511364.1247,7333603.857,08:55:00
51,53,AC-46,A,AC-46A,2019-04-05,65,65,-5.0,15.24173924,66.1936143,510888.4485,7341512.132,08:30:00
52,54,AC-32,A,AC-32A,2019-03-11,65,65,-15.0,15.88210448,66.05188319,539953.2836,7325974.195,08:15:00
53,55,AC-27,A,AC-27A,2019-03-11,200,200,-15.0,15.71649311,66.07877936,532418.2506,7328876.351,10:15:00
54,56,AC-42,A,AC-42A,2019-03-11,30,30,-10.0,15.76098076,65.90840731,534661.4522,7309911.059,13:37:30
55,60,AC-33,A,AC-33A,2019-03-05,65,65,-10.0,16.03670724,66.06518167,546930.7414,7327563.494,14:30:00
56,61,AC-31,A,AC-31A,2019-03-05,50,50,-15.0,15.59576559,65.98449828,527055.8412,7318310.67,12:00:00
57,62,AC-38,A,AC-38A,2019-03-05,35,35,-20.0,16.02861195,65.89659453,546872.4418,7308768.327,08:45:00
58,63,AC-37,A,AC-37A,2019-03-05,30,30,-17.0,15.84881121,65.9380027,538617.1852,7313260.876,10:00:00
59,64,AC-28,A,AC-28A,2019-03-07,90,90,-15.0,15.8491718,66.15323252,538308.6585,7337249.602,10:12:30
60,65,AC-35,A,AC-35A,2019-03-15,90,90,-10.0,16.55332624,65.98731394,570529.3876,7319369.401,10:30:00
61,66,AC-36,A,AC-36A,2019-03-15,130,130,-10.0,16.75175007,65.99519203,579512.604,7320484.624,12:02:30
62,67,AC-26,A,AC-26A,2019-03-26,110,110,-10.0,16.04425364,66.16381694,547089.1167,7338562.269,10:30:00
63,68,AC-25,A,AC-25A,2019-03-26,90,90,-10.0,15.84925843,66.20434872,538235.3079,7342946.922,12:07:30
64,69,AC-24,A,AC-24A,2019-03-26,80,80,-8.0,15.69390556,66.19086231,531257.926,7341357.54,13:20:00
65,70,AC-29,A,AC-29A,2019-03-26,100,100,-10.0,16.14107316,66.10983041,551564.2798,7332621.634,09:00:00
66,71,AC-34,A,AC-34A,2019-03-16,165,165,-4.0,16.33018168,66.05549638,560237.5303,7326734.951,08:42:30
67,72,AC-30,A,AC-30A,2019-03-17,60,60,-20.0,16.32392487,66.07345377,559911.9498,7328730.193,07:47:30
68,73,AC-22,A,AC-22A,2019-04-08,70,70,,15.66018048,66.26705978,529649.2181,7349834.175,14:32:30
69,74,AC-21,A,AC-21A,2019-04-08,85,85,-8.0,15.49256311,66.32241149,522072.9725,7355934.593,11:40:00
70,77,AC-23,A,AC-23A,2019-04-08,110,110,-10.0,15.37146429,66.23064849,516707.0051,7345668.731,09:52:30
71,78,AC-33,A,AC-33A,2020-02-26,170,170,-15.0,16.03670724,66.06518167,546930.7414,7327563.494,13:17:30
72,79,AC-42,A,AC-42A,2020-02-27,75,75,-15.0,15.76098076,65.90840731,534661.4522,7309911.059,11:45:00
73,80,AC-40,A,AC-40A,2020-03-19,170,170,-5.0,16.08976248,65.87227973,549705.8182,7306105.522,06:31:30
74,81,AC-41,A,AC-41A,2020-03-19,125,125,-5.0,16.26443367,65.83598422,557753.5181,7302210.037,05:15:30
75,82,AC-37,A,AC-37A,2020-04-05,160,160,-15.0,15.84881121,65.9380027,538617.1852,7313260.876,04:19:00
76,83,AC-38,A,AC-38A,2020-04-05,160,160,-10.0,16.02861195,65.89659453,546872.4418,7308768.327,05:36:00
77,84,AC-39,A,AC-39A,2020-04-06,135,135,-10.0,15.93640688,65.88145457,542696.2178,7307015.189,06:38:30
78,85,AC-36,A,AC-36A,2020-04-21,125,125,-2.0,16.75175007,65.99519203,579512.604,7320484.624,04:36:00
79,86,AC-35,A,AC-35A,2020-04-22,100,100,-6.0,16.55332624,65.98731394,570529.3876,7319369.401,04:21:00
80,87,AC-28,A,AC-28A,2020-04-27,190,190,-1.0,15.8491718,66.15323252,538308.6585,7337249.602,08:59:30
81,88,AC-23,A,AC-23A,2020-04-28,80,80,-3.0,15.37146429,66.23064849,516707.0051,7345668.731,04:47:30
82,89,AC-22,A,AC-22A,2020-04-28,190,190,-1.0,15.66018048,66.26705978,529649.2181,7349834.175,08:20:30
83,90,AC-21,A,AC-21A,2020-04-28,200,200,-3.0,15.49256311,66.32241149,522072.9725,7355934.593,06:13:30
84,91,AC-31,A,AC-31A,2020-04-28,150,150,-10.0,15.59576559,65.98449828,527055.8412,7318310.67,12:34:00
85,92,AC-32,A,AC-32A,2020-04-28,240+,240,-1.0,15.88210448,66.05188319,539953.2836,7325974.195,11:56:00
86,93,AC-34,A,AC-34A,2020-04-29,210,210,-5.0,16.33018168,66.05549638,560237.5303,7326734.951,03:16:00
87,94,AC-30,A,AC-30A,2020-04-29,130,130,-5.0,16.32392487,66.07345377,559911.9498,7328730.193,04:20:30
88,95,AC-29,A,AC-29A,2020-04-29,95,95,-5.0,16.14107316,66.10983041,551564.2798,7332621.634,05:48:00
89,96,AC-25,A,AC-25A,2020-04-29,180,180,-3.0,15.84925843,66.20434872,538235.3079,7342946.922,09:09:30
90,97,AC-24,A,AC-24A,2020-04-29,140,140,-2.0,15.69390556,66.19086231,531257.926,7341357.54,10:17:30
91,98,AC-27,A,AC-27A,2020-05-01,240+,240,-5.0,15.71649311,66.07877936,532418.2506,7328876.351,05:02:30
92,99,AC-43,A,AC-43A,2020-05-09,240+,240,-2.0,15.25159463,66.12264974,511364.1247,7333603.857,04:02:30
93,100,AC-46,A,AC-46A,2020-05-09,190,190,-3.0,15.24173924,66.1936143,510888.4485,7341512.132,06:15:30
94,101,AC-26,A,AC-26A,2020-04-29,150,150,-3.0,16.04425364,66.16381694,547089.1167,7338562.269,07:17:30
95,102,AC-22,A,AC-22A,2021-04-12,140,140,-5.0,15.66018048,66.26705978,529649.2181,7349834.175,08:17:00
96,103,AC-21,A,AC-21A,2021-04-12,60,60,-5.0,15.49256311,66.32241149,522072.9725,7355934.593,09:29:00
97,104,AC-23,A,AC-23A,2021-04-12,100,100,-5.0,15.37146429,66.23064849,516707.0051,7345668.731,11:43:30
98,105,AC-43,A,AC-43A,2021-04-17,170,170,-8.0,15.25159463,66.12264974,511364.1247,7333603.857,03:57:00
99,106,AC-46,A,AC-46A,2021-04-17,45,45,-6.0,15.24173924,66.1936143,510888.4485,7341512.132,05:50:00
100,107,AC-32,A,AC-32A,2021-05-03,145,145,-8.0,15.88210448,66.05188319,539953.2836,7325974.195,02:52:00
101,108,AC-27,A,AC-27A,2021-05-03,160,160,-8.0,15.71649311,66.07877936,532418.2506,7328876.351,04:06:00
102,110,AC-33,A,AC-33A,2021-03-10,50,50,-20.0,16.03670724,66.06518167,546930.7414,7327563.494,06:15:30
103,111,AC-41,A,AC-41A,2021-03-15,90,90,-10.0,16.26443367,65.83598422,557753.5181,7302210.037,05:54:00
104,112,AC-42,A,AC-42A,2021-03-16,50,50,-10.0,15.76098076,65.90840731,534661.4522,7309911.059,08:15:00
105,113,AC-31,A,AC-31A,2021-03-16,140,140,-5.0,15.59576559,65.98449828,527055.8412,7318310.67,12:58:00
106,114,AC-38,A,AC-38A,2021-03-18,60,60,-10.0,16.02861195,65.89659453,546872.4418,7308768.327,05:28:30
107,115,AC-40,A,AC-40A,2021-03-18,145,145,-10.0,16.08976248,65.87227973,549705.8182,7306105.522,06:48:00
108,116,AC-39,A,AC-39A,2021-03-18,60,60,-10.0,15.93640688,65.88145457,542696.2178,7307015.189,07:49:00
109,117,AC-37,A,AC-37A,2021-03-18,70,70,-10.0,15.84881121,65.9380027,538617.1852,7313260.876,09:06:00
110,118,AC-35,A,AC-35A,2021-03-26,75,75,-8.0,16.55332624,65.98731394,570529.3876,7319369.401,05:22:30
111,119,AC-36,A,AC-36A,2021-03-26,110,110,-8.0,16.75175007,65.99519203,579512.604,7320484.624,06:32:00
112,120,AC-34,A,AC-34A,2021-03-26,120,120,-6.0,16.33018168,66.05549638,560237.5303,7326734.951,08:01:00
113,121,AC-30,A,AC-30A,2021-03-26,100,100,-6.0,16.32392487,66.07345377,559911.9498,7328730.193,09:12:00
114,122,AC-29,A,AC-29A,2021-03-28,90,90,-5.0,16.14107316,66.10983041,551564.2798,7332621.634,05:13:30
115,123,AC-28,A,AC-28A,2021-03-28,110,110,-5.0,15.8491718,66.15323252,538308.6585,7337249.602,07:58:00
116,124,AC-26,A,AC-26A,2021-04-12,120,120,-11.0,16.04425364,66.16381694,547089.1167,7338562.269,03:56:30
117,125,AC-25,A,AC-25A,2021-04-12,115,115,,15.84925843,66.20434872,538235.3079,7342946.922,05:07:00
118,126,AC-24,A,AC-24A,2021-04-12,90,90,-10.0,15.69390556,66.19086231,531257.926,7341357.54,06:47:30
119,127,AC-33,A,AC-33A,2022-01-31,90,90,-19.6,16.03670724,66.06518167,546930.7414,7327563.494,09:43:00
120,128,AC-40,A,AC-40A,2022-02-19,130,130,-15.0,16.08976248,65.87227973,549705.8182,7306105.522,09:56:30
121,129,AC-41,A,AC-41A,2022-02-19,100,100,-15.0,16.26443367,65.83598422,557753.5181,7302210.037,08:13:00
122,130,AC-31,A,AC-31A,2022-03-04,180,180,-11.5,15.59576559,65.98449828,527055.8412,7318310.67,07:21:30
123,131,AC-39,A,AC-39A,2022-03-09,70,70,-7.0,15.93640688,65.88145457,542696.2178,7307015.189,08:27:30
124,132,AC-28,A,AC-28A,2022-03-12,80,80,-3.0,15.8491718,66.15323252,538308.6585,7337249.602,07:00:00
125,133,AC-32,A,AC-32A,2022-03-12,130,130,0.0,15.88210448,66.05188319,539953.2836,7325974.195,09:26:30
126,134,AC-30,A,AC-30A,2022-03-13,90,90,-5.0,16.32392487,66.07345377,559911.9498,7328730.193,10:54:30
127,135,AC-34,A,AC-34A,2022-03-13,150,150,,16.33018168,66.05549638,560237.5303,7326734.951,08:59:00
128,136,AC-35,A,AC-35A,2022-03-13,80,80,-8.4,16.55332624,65.98731394,570529.3876,7319369.401,05:40:30
129,137,AC-36,A,AC-36A,2022-03-13,110,110,-5.0,16.75175007,65.99519203,579512.604,7320484.624,06:57:00
130,138,AC-21,A,AC-21A,2022-03-14,155,155,-1.0,15.49256311,66.32241149,522072.9725,7355934.593,14:24:30
131,139,AC-24,A,AC-24A,2022-03-14,130,130,-2.0,15.69390556,66.19086231,531257.926,7341357.54,11:30:00
132,140,AC-25,A,AC-25A,2022-03-14,100,100,-2.0,15.84925843,66.20434872,538235.3079,7342946.922,09:48:00
133,141,AC-26,A,AC-26A,2022-03-14,135,135,-6.0,16.04425364,66.16381694,547089.1167,7338562.269,08:07:00
134,142,AC-29,A,AC-29A,2022-03-14,180,180,-8.4,16.14107316,66.10983041,551564.2798,7332621.634,06:34:30
135,143,AC-23,A,AC-23A,2022-03-15,120,120,-1.0,15.37146429,66.23064849,516707.0051,7345668.731,10:37:00
136,144,AC-38,A,AC-38A,2022-03-15,75,75,-17.0,16.02861195,65.89659453,546872.4418,7308768.327,07:18:30
137,145,AC-43,A,AC-43A,2022-03-15,220,220,-4.0,15.25159463,66.12264974,511364.1247,7333603.857,07:22:30
138,146,AC-46,A,AC-46A,2022-03-15,155,155,-3.0,15.24173924,66.1936143,510888.4485,7341512.132,08:55:00
139,147,AC-22,A,AC-22A,2022-03-16,195,195,-2.0,15.66018048,66.26705978,529649.2181,7349834.175,13:09:00
140,148,AC-42,A,AC-42A,2022-03-16,60,60,,15.76098076,65.90840731,534661.4522,7309911.059,09:48:00
141,149,AC-37,A,AC-37A,2022-04-15,130,130,-5.0,15.84881121,65.9380027,538617.1852,7313260.876,10:06:00
142,150,AC-42,B,AC-42B,2017-02-21,85,85,-5.0,15.76104404,65.87253495,534712.811,7305912.951,10:50:00
143,151,AC-38,B,AC-38B,2017-02-26,75,75,-10.0,16.06601119,65.92904529,548515.1091,7312413.359,08:55:00
144,152,AC-37,B,AC-37B,2017-02-26,70,70,-8.0,15.93669383,65.93795328,542615.3144,7313312.254,11:27:30
145,153,AC-31,B,AC-31B,2017-02-26,60,60,-8.0,15.63274264,66.01705338,528698.4479,7321955.65,13:52:30
146,154,AC-39,B,AC-39B,2017-03-04,70,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,09:35:00
147,155,AC-40,B,AC-40B,2017-03-04,75,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875,11:12:30
148,156,AC-41,B,AC-41B,2017-03-04,13,13,-9.0,16.35196411,65.83569752,561751.7168,7302261.377,12:50:00
149,157,AC-33,B,AC-33B,2017-03-04,30,30,-7.0,16.12502754,66.06502455,550928.8997,7327614.924,14:57:30
150,158,AC-32,B,AC-32B,2017-03-05,125,125,-14.0,15.96743701,66.06109946,543802.1738,7327058.39,10:27:30
151,159,AC-27,B,AC-27B,2017-03-05,70,70,-10.0,15.77325645,66.10627946,534948.6291,7331971.961,12:15:00
152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,10:15:00
153,161,AC-34,B,AC-34B,2017-03-06,125,125,-10.0,16.41726798,66.06140904,564165.8276,7327480.284,11:20:00
154,162,AC-35,B,AC-35B,2017-03-06,95,95,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,12:47:30
155,163,AC-36,B,AC-36B,2017-03-17,70,70,-10.0,16.76838233,66.0304171,580156.6735,7324430.853,14:00:00
156,164,AC-29,B,AC-29B,2017-03-17,115,115,-10.0,16.13381444,66.1455831,551164.1776,7336600.318,11:07:30
157,165,AC-26,B,AC-26B,2017-03-17,35,35,-15.0,16.06001278,66.19911613,547733.1046,7342508.393,07:05:00
158,166,AC-25,B,AC-25B,2017-03-31,145,145,-10.0,15.92210788,66.22488338,541481.2433,7345282.029,08:35:00
159,167,AC-24,B,AC-24B,2017-03-31,60,60,-8.0,15.75089585,66.21837029,533788.2675,7344453.175,10:02:30
160,168,AC-22,B,AC-22B,2017-03-17,140,140,-7.0,15.6976547,66.29959822,531291.7265,7353479.21,11:42:30
161,169,AC-21,B,AC-21B,2017-03-17,185,185,-5.0,15.58142379,66.32569497,526051.5524,7356334.762,13:15:30
162,170,AC-23,B,AC-23B,2017-04-18,70,70,-10.0,15.45909231,66.2246367,520653.0315,7345024.777,08:50:00
163,171,AC-28,B,AC-28B,2017-04-14,50,50,,15.93648025,66.15941633,542236.8719,7337994.957,12:55:00
164,172,AC-33,B,AC-33B,2017-04-16,15,15,-8.0,16.12502754,66.06502455,550928.8997,7327614.924,09:05:00
165,173,AC-37,B,AC-37B,2017-04-16,70,70,-10.0,15.93669383,65.93795328,542615.3144,7313312.254,06:00:00
166,174,AC-43,B,AC-43B,2017-04-18,80,80,-5.0,15.29647724,66.09173882,513407.6892,7330167.287,12:12:30
167,175,AC-46,B,AC-46B,2017-04-18,45,45,-5.0,15.26675247,66.15918547,512031.4368,7337679.111,10:38:00
168,176,AC-46,B,AC-46B,2018-03-31,110,110,-10.0,15.26675247,66.15918547,512031.4368,7337679.111,10:32:30
169,177,AC-43,B,AC-43B,2018-03-31,40,40,-10.0,15.29647724,66.09173882,513407.6892,7330167.287,08:52:30
170,178,AC-23,B,AC-23B,2018-03-30,120,120,-8.0,15.45909231,66.2246367,520653.0315,7345024.777,09:10:00
171,179,AC-21,B,AC-21B,2018-03-30,80,80,-5.0,15.58142379,66.32569497,526051.5524,7356334.762,10:47:30
172,180,AC-22,B,AC-22B,2018-03-30,60,60,-5.0,15.6976547,66.29959822,531291.7265,7353479.21,12:35:00
173,181,AC-42,B,AC-42B,2018-03-29,110,110,-10.0,15.76104404,65.87253495,534712.811,7305912.951,11:30:00
174,182,AC-37,B,AC-37B,2018-03-15,45,45,-15.0,15.93669383,65.93795328,542615.3144,7313312.254,12:55:00
175,183,AC-37,B,AC-37B,2018-04-17,50,50,0.0,15.93669383,65.93795328,542615.3144,7313312.254,11:22:30
176,184,AC-39,B,AC-39B,2018-03-15,120,120,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,11:19:00
177,185,AC-38,B,AC-38B,2018-03-15,120,120,-15.0,16.06601119,65.92904529,548515.1091,7312413.359,10:00:00
178,186,AC-40,B,AC-40B,2018-03-16,115,115,-15.0,16.17741866,65.87209272,553703.9877,7306156.875,11:42:30
179,187,AC-41,B,AC-41B,2018-03-16,200,200,-20.0,16.35196411,65.83569752,561751.7168,7302261.377,10:17:30
180,188,AC-31,B,AC-31B,2018-03-16,125,125,-10.0,15.63274264,66.01705338,528698.4479,7321955.65,13:52:30
181,189,AC-27,B,AC-27B,2018-03-28,60,60,-8.0,15.77325645,66.10627946,534948.6291,7331971.961,13:10:00
182,190,AC-28,B,AC-28B,2018-03-28,55,55,-8.0,15.93648025,66.15941633,542236.8719,7337994.957,10:47:30
183,191,AC-32,B,AC-32B,2018-03-28,250,250,-5.0,15.96743701,66.06109946,543802.1738,7327058.39,14:37:30
184,192,AC-33,B,AC-33B,2018-03-28,130,130,-10.0,16.12502754,66.06502455,550928.8997,7327614.924,08:35:00
185,193,AC-24,B,AC-24B,2018-03-30,90,90,-5.0,15.75089585,66.21837029,533788.2675,7344453.175,14:02:30
186,194,AC-25,B,AC-25B,2018-04-02,110,110,-5.0,15.92210788,66.22488338,541481.2433,7345282.029,15:20:00
187,195,AC-26,B,AC-26B,2018-04-02,75,75,-5.0,16.06001278,66.19911613,547733.1046,7342508.393,13:45:00
188,196,AC-29,B,AC-29B,2018-04-02,90,90,-5.0,16.13381444,66.1455831,551164.1776,7336600.318,12:12:30
189,197,AC-30,B,AC-30B,2018-03-23,165,165,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,13:00:00
190,198,AC-34,B,AC-34B,2018-03-23,115,115,-10.0,16.41726798,66.06140904,564165.8276,7327480.284,11:22:30
191,199,AC-35,B,AC-35B,2018-03-23,120,120,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,09:32:30
192,200,AC-36,B,AC-36B,2018-03-23,110,110,-15.0,16.76838233,66.0304171,580156.6735,7324430.853,08:12:30
193,201,AC-43,B,AC-43B,2019-04-03,30,30,-10.0,15.29647724,66.09173882,513407.6892,7330167.287,08:55:00
194,202,AC-46,B,AC-46B,2019-04-05,125,125,-5.0,15.26675247,66.15918547,512031.4368,7337679.111,08:30:00
195,203,AC-32,B,AC-32B,2019-03-11,58,58,-15.0,15.96743701,66.06109946,543802.1738,7327058.39,08:15:00
196,204,AC-27,B,AC-27B,2019-03-11,30,30,-15.0,15.77325645,66.10627946,534948.6291,7331971.961,10:15:00
197,205,AC-42,B,AC-42B,2019-03-11,90,90,-10.0,15.76104404,65.87253495,534712.811,7305912.951,13:37:30
198,209,AC-33,B,AC-33B,2019-03-05,10,10,-10.0,16.12502754,66.06502455,550928.8997,7327614.924,14:30:00
199,210,AC-31,B,AC-31B,2019-03-05,50,50,-15.0,15.63274264,66.01705338,528698.4479,7321955.65,12:00:00
200,211,AC-38,B,AC-38B,2019-03-05,80,80,-20.0,16.06601119,65.92904529,548515.1091,7312413.359,08:45:00
201,212,AC-37,B,AC-37B,2019-03-05,40,40,-17.0,15.93669383,65.93795328,542615.3144,7313312.254,10:00:00
202,213,AC-28,B,AC-28B,2019-03-07,30,30,-15.0,15.93648025,66.15941633,542236.8719,7337994.957,10:12:30
203,214,AC-35,B,AC-35B,2019-03-15,135,135,-10.0,16.55437651,66.02318273,570477.9784,7323367.637,10:30:00
204,215,AC-36,B,AC-36B,2019-03-15,65,65,-10.0,16.76838233,66.0304171,580156.6735,7324430.853,12:02:30
205,216,AC-26,B,AC-26B,2019-03-26,75,75,-10.0,16.06001278,66.19911613,547733.1046,7342508.393,10:30:00
206,217,AC-25,B,AC-25B,2019-03-26,45,45,-10.0,15.92210788,66.22488338,541481.2433,7345282.029,12:07:30
207,218,AC-24,B,AC-24B,2019-03-26,30,30,-8.0,15.75089585,66.21837029,533788.2675,7344453.175,13:20:00
208,219,AC-29,B,AC-29B,2019-03-26,75,75,-10.0,16.13381444,66.1455831,551164.1776,7336600.318,09:00:00
209,220,AC-34,B,AC-34B,2019-03-16,150,150,-4.0,16.41726798,66.06140904,564165.8276,7327480.284,08:42:30
210,221,AC-30,B,AC-30B,2019-03-17,145,145,-20.0,16.3475215,66.10802569,560896.7912,7332605.764,07:47:30
211,222,AC-22,B,AC-22B,2019-04-08,160,160,,15.6976547,66.29959822,531291.7265,7353479.21,14:32:30
212,223,AC-21,B,AC-21B,2019-04-08,170,170,-8.0,15.58142379,66.32569497,526051.5524,7356334.762,11:40:00
213,226,AC-23,B,AC-23B,2019-04-08,185,185,-10.0,15.45909231,66.2246367,520653.0315,7345024.777,09:52:30
214,227,AC-33,B,AC-33B,2020-02-26,90,90,-15.0,16.12502754,66.06502455,550928.8997,7327614.924,13:17:30
215,228,AC-42,B,AC-42B,2020-02-27,130,130,-15.0,15.76104404,65.87253495,534712.811,7305912.951,11:45:00
216,229,AC-40,B,AC-40B,2020-03-19,125,125,-5.0,16.17741866,65.87209272,553703.9877,7306156.875,06:31:30
217,230,AC-41,B,AC-41B,2020-03-19,210,210,-5.0,16.35196411,65.83569752,561751.7168,7302261.377,05:15:30
218,231,AC-37,B,AC-37B,2020-04-05,120,120,-15.0,15.93669383,65.93795328,542615.3144,7313312.254,04:19:00
219,232,AC-38,B,AC-38B,2020-04-05,130,130,-10.0,16.06601119,65.92904529,548515.1091,7312413.359,05:36:00
