ID,ERA5_time,t2m,rsn,sd
118,2021-04-12T06,267.6361,249.24217,0.20934296
119,2022-01-31T09,258.4284,214.73436,0.14311314
120,2022-02-19T09,260.53442,175.56248,0.12020874
121,2022-02-19T08,260.06592,181.35936,0.12872314
122,2022-03-04T07,260.99316,229.60155,0.19402409
123,2022-03-09T08,268.8672,244.41405,0.20881748
124,2022-03-12T07,268.44238,276.4375,0.29577637
125,2022-03-12T09,270.85986,257.34375,0.2115612
126,2022-03-13T10,270.42822,259.96094,0.19443989
127,2022-03-13T08,266.47485,259.78125,0.19301891
128,2022-03-13T05,264.45898,266.6172,0.21017551
129,2022-03-13T06,262.6819,270.73438,0.21480751
130,2022-03-14T14,273.59485,279.21094,0.28533363
131,2022-03-14T11,272.802,284.1953,0.2983427
132,2022-03-14T09,269.5879,283.98438,0.29690552
133,2022-03-14T08,268.46826,289.29688,0.31014252
134,2022-03-14T06,264.61914,262.4453,0.1948986
135,2022-03-15T10,272.26257,281.60156,0.28155327
136,2022-03-15T07,266.47217,265.9297,0.21453285
137,2022-03-15T07,267.83545,244.99998,0.18265057
138,2022-03-15T08,268.64795,281.33594,0.28110504
139,2022-03-16T13,271.00366,289.8047,0.29871845
140,2022-03-16T09,267.9082,263.14844,0.20112514
141,2022-04-15T10,270.56152,244.39842,0.19224739
142,2017-02-21T10,259.63403,255.24217,0.15853405
143,2017-02-26T08,258.74377,262.6875,0.23156738
144,2017-02-26T11,263.7989,262.85938,0.23040962
145,2017-02-26T13,265.4049,271.58594,0.2586813
146,2017-03-04T09,260.33405,243.66405,0.21954536
147,2017-03-04T11,263.56006,200.14061,0.13568115
148,2017-03-04T12,265.33105,200.22655,0.13568401
149,2017-03-04T14,263.6997,218.73436,0.16858768
150,2017-03-05T10,256.41153,245.31248,0.21681976
151,2017-03-05T12,261.7555,258.70312,0.2367382
152,2017-03-06T10,260.05664,221.60155,0.16244411
153,2017-03-06T11,261.39294,213.22655,0.1512928
154,2017-03-06T12,262.82373,213.28905,0.15129662
155,2017-03-17T14,274.17175,230.49998,0.13861561
156,2017-03-17T11,272.8463,261.89062,0.25717068
157,2017-03-17T07,270.7379,279.89062,0.32116032
158,2017-03-31T08,264.60938,301.25,0.37515163
159,2017-03-31T10,267.1411,302.17188,0.38817787
160,2017-03-17T11,272.41272,284.34375,0.34397888
161,2017-03-17T13,272.474,288.28906,0.36819172
162,2017-04-18T08,265.74536,329.3125,0.41314888
163,2017-04-14T12,264.8142,315.2578,0.38380337
164,2017-04-16T09,267.29016,283.47656,0.2095766
165,2017-04-16T06,263.1364,298.8047,0.28552437
166,2017-04-18T12,269.86877,329.9453,0.40900326
167,2017-04-18T10,268.6576,330.10156,0.41689873
168,2018-03-31T10,267.7024,247.53905,0.2563429
169,2018-03-31T08,264.4519,258.53906,0.30726814
170,2018-03-30T09,267.7008,259.90625,0.29037285
171,2018-03-30T10,268.646,260.01562,0.29031754
172,2018-03-30T12,269.33875,273.4453,0.3339672
173,2018-03-29T11,268.00317,280.35938,0.36596584
174,2018-03-15T12,262.82617,271.46875,0.35237312
175,2018-04-17T11,281.7422,336.95312,0.41838074
176,2018-03-15T11,260.3833,271.39062,0.35237217
177,2018-03-15T10,258.43695,271.32812,0.35237122
178,2018-03-16T11,263.67407,272.6172,0.35282612
179,2018-03-16T10,261.18085,272.54688,0.3528223
180,2018-03-16T13,262.02124,265.42188,0.30121136
181,2018-03-28T13,268.58496,272.90625,0.35671902
182,2018-03-28T10,267.74744,279.77344,0.3776617
183,2018-03-28T14,268.5337,286.0078,0.3985281
184,2018-03-28T08,266.89514,286.35156,0.3960657
185,2018-03-30T14,269.22046,273.75,0.33397007
186,2018-04-02T15,267.28955,295.65625,0.3906412
187,2018-04-02T13,267.82007,295.39844,0.39064407
188,2018-04-02T12,268.61426,297.4453,0.3896637
189,2018-03-23T13,267.35498,289.20312,0.37576008
190,2018-03-23T11,266.19995,289.67188,0.3684044
191,2018-03-23T09,263.9319,289.6875,0.36842155
192,2018-03-23T08,262.52588,288.10938,0.35380077
193,2019-04-03T08,270.7838,240.03905,0.2260313
194,2019-04-05T08,267.98694,270.4453,0.29547215
195,2019-03-11T08,256.99207,200.30467,0.15765858
196,2019-03-11T10,259.1853,202.60936,0.15742111
197,2019-03-11T13,262.1593,172.1328,0.097141266
198,2019-03-05T14,258.7547,216.06248,0.12744236
