ID,ERA5_time,t2m,skt,rsn,sd,tsn,tcsw
340,2019-03-11T10,259.1853,256.04733,202.60936,0.15742111,257.95178,0.0
341,2019-03-11T13,262.70605,256.0182,202.91405,0.15741825,258.87207,0.0
342,2019-03-05T14,257.41876,251.13454,219.05467,0.14487648,254.1088,0.0
343,2019-03-05T12,256.8739,251.65501,219.57811,0.14775372,253.10693,0.0
344,2019-03-05T08,249.95229,249.28558,218.78123,0.14467907,251.73804,0.0
345,2019-03-05T10,253.91615,251.11319,218.85936,0.14487076,252.07697,0.0
346,2019-03-07T10,257.94385,257.2556,221.5703,0.17352486,255.4229,0.00048828125
347,2019-03-15T10,269.0061,268.6704,198.06248,0.15976143,267.91113,0.04296875
348,2019-03-15T12,270.40625,269.46704,198.52342,0.15982056,268.29187,0.013183594
349,2019-03-26T10,268.09033,264.19727,236.6328,0.202878,266.33118,0.0014648438
350,2019-03-26T12,266.51636,262.43506,239.35155,0.22537422,265.33752,0.00048828125
351,2019-03-26T13,267.6194,262.7495,238.93748,0.23185539,265.8296,0.00048828125
352,2019-03-26T09,266.9065,263.11035,236.47655,0.20262337,266.09595,0.0
353,2019-03-16T08,269.0299,267.7478,202.54686,0.16099167,268.5619,0.00390625
354,2019-03-17T07,262.75757,263.06714,207.74217,0.16142082,264.23096,0.0053710938
355,2019-04-08T14,268.6018,266.79736,280.1172,0.29181194,268.54785,0.0
356,2019-04-08T11,268.51245,268.90894,283.02344,0.30079746,269.552,0.00048828125
357,2019-04-08T09,266.4685,268.32007,282.66406,0.30043125,269.51733,0.0
358,2020-02-26T13,262.47412,255.81735,280.66406,0.32509995,260.38013,0.0
359,2020-02-27T11,260.26562,254.57529,280.67188,0.32574177,255.45753,0.0
360,2020-03-19T06,268.61328,267.7705,288.67188,0.2762146,270.11145,0.020019531
361,2020-03-19T05,267.72375,267.64258,288.53125,0.2763214,269.96948,0.017578125
362,2020-04-05T04,259.37378,258.71548,291.1875,0.33650398,263.11157,0.0034179688
363,2020-04-05T05,259.31665,258.42987,291.28125,0.3355379,262.9973,0.0009765625
364,2020-04-06T06,267.50342,266.75464,287.1797,0.2510109,266.87134,0.0087890625
365,2020-04-21T04,275.0608,272.65906,327.1328,0.23820591,272.995,0.0
366,2020-04-22T04,271.37915,271.23315,330.75,0.22653294,272.41772,0.0
367,2020-04-27T08,271.8778,272.45557,353.17188,0.41111183,272.72968,0.010253906
368,2020-04-28T04,268.96777,266.2893,344.8125,0.39751434,271.90186,0.0009765625
369,2020-04-28T08,270.44666,271.83777,350.64844,0.41375828,272.32715,0.016601562
370,2020-04-28T06,269.8224,269.82373,345.03125,0.3994894,272.7157,0.00390625
371,2020-04-28T12,272.42114,272.16846,346.57812,0.35325336,272.02393,0.029296875
372,2020-04-28T11,271.77637,272.16772,351.17188,0.3631153,271.75037,0.016601562
373,2020-04-29T03,267.1521,264.5973,346.73438,0.26023388,270.40308,0.001953125
374,2020-04-29T04,268.182,265.54236,346.79688,0.2572708,270.1543,0.0007324219
375,2020-04-29T05,268.87854,266.94116,350.91406,0.3460102,271.68787,0.0009765625
376,2020-04-29T09,270.45825,271.43677,357.60938,0.41713238,272.7047,0.016601562
377,2020-04-29T10,271.0415,271.6565,353.29688,0.40761948,272.9707,0.018554688
381,2020-04-29T07,270.18237,269.61328,350.97656,0.34454632,271.67932,0.0126953125
382,2021-04-12T08,268.4784,266.15967,249.59373,0.20949745,268.95215,0.0
383,2021-04-12T09,269.58862,266.53784,236.35936,0.18880177,269.3817,0.0
384,2021-04-12T11,270.81628,268.4054,236.78123,0.19139099,269.7434,0.00048828125
385,2021-04-17T03,270.4629,263.15283,234.27342,0.12815475,270.29907,0.0
386,2021-04-17T05,270.68933,266.4829,251.28905,0.17269516,271.35352,0.0
389,2021-03-10T06,255.60011,256.2903,222.66405,0.15847969,258.53033,0.00048828125
390,2021-03-15T05,268.3147,267.83423,247.49217,0.20615387,268.99097,0.0014648438
391,2021-03-16T08,266.42468,266.47803,213.76561,0.14760017,266.55347,0.0014648438
392,2021-03-16T12,270.08447,267.9082,214.39842,0.14721775,268.0702,0.00048828125
393,2021-03-18T05,260.3589,260.05566,237.4453,0.17479706,263.64673,0.00024414062
394,2021-03-18T06,261.55518,262.1416,258.46094,0.21024704,264.9109,0.0009765625
395,2021-03-18T07,264.0984,263.9524,249.76561,0.19073677,265.3064,0.0029296875
396,2021-03-18T09,263.77075,263.16284,237.86717,0.17535877,263.9392,0.00048828125
397,2021-03-26T05,266.8269,266.36304,285.2578,0.19920826,268.54016,0.0
398,2021-03-26T06,267.86816,268.86768,285.375,0.20010662,268.55933,0.0
399,2021-03-26T08,272.3883,271.24512,275.59375,0.18960667,270.2439,0.0
400,2021-03-26T09,273.9618,272.3916,275.75,0.18961906,271.2173,0.0
401,2021-03-28T05,270.9248,269.11865,266.73438,0.1933384,272.26025,0.0
402,2021-03-28T07,270.73572,268.91943,250.5703,0.18645859,272.22742,0.0
403,2021-04-12T03,267.2002,262.46924,275.0547,0.22408772,269.8452,0.0
404,2021-04-12T05,266.77344,261.2234,262.53906,0.22983551,268.57983,0.0
405,2021-04-12T06,267.6361,263.21216,249.24217,0.20934296,268.6167,0.0
406,2022-01-31T09,258.4284,258.05725,214.73436,0.14311314,260.2997,0.0
407,2022-02-19T09,261.18677,259.74512,181.46873,0.12873554,260.25244,0.018554688
408,2022-02-19T08,260.0658,258.79517,181.35936,0.12872314,259.8794,0.021484375
409,2022-03-04T07,261.1631,263.2041,237.78905,0.19956875,264.10977,0.0063476562
410,2022-03-09T08,269.5547,269.82715,229.9453,0.14254189,270.50403,0.0
411,2022-03-12T07,268.2881,264.19043,282.46875,0.30992413,268.46924,0.0
412,2022-03-12T09,270.85986,268.72217,257.34375,0.2115612,268.3728,0.0
413,2022-03-13T10,271.1372,268.73975,267.1953,0.21067905,266.02417,0.0
414,2022-03-13T08,266.4944,267.12476,267.01562,0.20957565,265.16992,0.0
415,2022-03-13T05,262.91797,264.74072,270.59375,0.21493626,266.00806,0.0
416,2022-03-13T06,262.6819,265.10547,270.73438,0.21480751,265.36768,0.0
417,2022-03-14T14,273.59497,266.64722,279.21094,0.28533363,268.2024,0.0009765625
418,2022-03-14T11,272.802,267.37964,284.1953,0.2983427,266.18945,0.00048828125
419,2022-03-14T09,269.54688,264.9568,289.41406,0.31015015,264.69702,0.0
420,2022-03-14T08,267.9546,264.9016,287.84375,0.29192257,264.79053,0.0
421,2022-03-14T06,267.20508,263.60156,287.60156,0.29185486,264.18213,0.0068359375
422,2022-03-15T10,271.78418,267.67456,281.75,0.28532314,264.87305,0.0
423,2022-03-15T07,266.47217,262.13135,265.9297,0.21453285,261.96826,0.0
424,2022-03-15T07,267.83545,260.3794,244.99998,0.18265057,261.07764,0.0
425,2022-03-15T08,268.64795,266.1809,281.33594,0.28110504,265.85547,0.0
426,2022-03-16T13,271.00366,265.65942,289.8047,0.29871845,265.29614,0.0
427,2022-03-16T09,267.9082,265.5808,263.14844,0.20112514,263.64966,0.0
428,2022-04-15T10,270.9463,268.06738,249.53123,0.21389866,266.76538,0.0
429,2023-03-26T12,262.19165,257.8272,166.31248,0.07079697,257.05627,0.00048828125
430,2023-03-27T13,263.1372,254.21924,167.5078,0.06964302,253.37592,0.0
431,2023-03-27T11,260.3127,253.40178,167.42186,0.07019234,251.4233,0.0
432,2023-03-25T10,264.70752,264.44937,148.64061,0.007925987,261.9461,0.0
433,2023-03-25T11,266.77173,265.70862,149.24217,0.0075473785,264.0794,0.0
434,2023-03-11T08,258.92776,258.083,132.71092,0.020793915,254.52652,0.0
435,2023-03-11T10,263.61206,262.851,134.10155,0.020285606,259.9593,0.0048828125
436,2023-03-07T12,259.1808,259.7511,138.6953,0.029305458,256.8858,0.005859375
437,2023-03-25T12,267.9663,266.19937,149.87498,0.0072755814,265.10983,0.0
438,2023-03-11T11,265.06396,263.76663,134.35155,0.030883789,261.4967,0.008300781
439,2023-03-25T13,261.24902,256.63147,160.7578,0.06512833,256.75183,0.0
440,2023-04-17T11,276.30713,275.46033,271.625,0.08622646,273.1602,0.0009765625
441,2023-04-13T06,272.69678,270.38318,226.1328,0.06943703,272.7218,0.0
442,2023-04-13T09,274.14282,272.61584,233.87498,0.07277393,271.68726,0.0
443,2023-03-12T07,256.47772,256.2016,145.0703,0.003777504,248.96887,0.0078125
444,2023-03-12T08,260.5174,259.97925,150.04686,0.0038776398,253.7294,0.057128906
445,2023-03-06T11,262.28345,261.42676,137.27342,0.027602196,259.76767,0.044921875
446,2023-03-06T13,261.6243,261.6427,136.28123,0.017495155,259.97122,0.026855469
447,2023-03-07T11,258.87683,259.6729,125.35155,0.018426895,256.76154,0.005859375
448,2023-03-07T09,259.8515,259.78912,101.812485,0.00056934357,256.00586,0.028808594
449,2023-03-07T08,258.4262,259.0193,104.3828,0.00067424774,252.03082,0.025390625
450,2023-03-06T09,260.3539,260.11426,135.18748,0.028878212,257.053,0.0014648438
452,2023-04-17T05,271.77234,271.22876,267.3203,0.08911991,272.26807,0.0029296875
453,2023-03-26T12,261.7776,257.544,161.89842,0.066550255,256.609,0.0
454,2023-03-27T13,262.8462,254.62354,163.03123,0.06553459,253.51263,0.0
455,2023-03-27T11,260.3127,253.40178,167.42186,0.07019234,251.4233,0.0
456,2023-03-25T10,263.48877,263.06265,149.65623,0.010710716,261.95782,0.0
457,2023-03-25T11,266.77173,265.70862,149.24217,0.0075473785,264.0794,0.0
458,2023-03-11T08,259.6602,259.56543,122.906235,0.0040712357,255.2355,0.00024414062
459,2023-03-11T10,263.61206,262.851,134.10155,0.020285606,259.9593,0.0048828125
460,2023-03-07T12,259.2472,259.2882,127.39061,0.028438568,257.27643,0.0073242188
461,2023-03-25T12,262.11084,257.9279,158.82811,0.050979614,258.92624,0.0
462,2023-03-11T11,265.06396,263.76663,134.35155,0.030883789,261.4967,0.008300781
463,2023-03-25T13,261.24902,256.63147,160.7578,0.06512833,256.75183,0.0
464,2023-04-17T11,276.23486,275.42126,258.14844,0.06943703,273.1602,0.001953125
465,2023-04-13T06,272.69678,270.38318,226.1328,0.06943703,272.7218,0.0
466,2023-04-13T09,274.14282,272.61584,233.87498,0.07277393,271.68726,0.0
467,2023-03-12T07,256.47772,256.2016,145.0703,0.003777504,248.96887,0.0078125
468,2023-03-12T08,260.5174,259.97925,150.04686,0.0038776398,253.7294,0.057128906
469,2023-03-06T11,262.28735,261.95215,135.47655,0.017801285,260.27158,0.03564453
470,2023-03-06T13,261.6243,261.6427,136.28123,0.017495155,259.97122,0.026855469
471,2023-03-07T11,258.87683,259.6729,125.35155,0.018426895,256.76154,0.005859375
472,2023-03-07T09,259.6933,259.71686,103.624985,0.0006952286,256.42773,0.028808594
473,2023-03-07T08,258.4262,259.0193,104.3828,0.00067424774,252.03082,0.025390625
474,2023-03-06T09,262.3539,263.45215,127.5078,0.0015916824,258.89285,0.0
475,2023-04-17T05,271.77234,271.22876,267.3203,0.08911991,272.26807,0.0029296875
476,2023-03-26T12,261.7776,257.544,161.89842,0.066550255,256.609,0.0
477,2023-03-27T13,262.8462,254.62354,163.03123,0.06553459,253.51263,0.0
478,2023-03-27T11,260.3127,253.40178,167.42186,0.07019234,251.4233,0.0
479,2023-03-25T10,263.48877,263.06265,149.65623,0.010710716,261.95782,0.0
480,2023-03-25T11,265.7307,264.3629,149.90623,0.010362625,264.09503,0.0
481,2023-03-11T08,258.92776,258.083,132.71092,0.020793915,254.52652,0.0
482,2023-03-11T10,263.61206,262.851,134.10155,0.020285606,259.9593,0.0048828125
483,2023-03-07T12,259.2472,259.2882,127.39061,0.028438568,257.27643,0.0073242188
484,2023-03-25T12,262.11084,257.9279,158.82811,0.050979614,258.92624,0.0
485,2023-03-11T11,265.06396,263.76663,134.35155,0.030883789,261.4967,0.008300781
486,2023-03-25T13,262.58105,258.5592,158.8828,0.050807953,259.40027,0.0
487,2023-04-17T11,276.23486,275.42126,258.14844,0.06943703,273.1602,0.001953125
488,2023-04-13T06,272.69678,270.38318,226.1328,0.06943703,272.7218,0.0
489,2023-04-13T09,274.14282,272.61584,233.87498,0.07277393,271.68726,0.0
490,2023-03-12T07,256.8449,256.6723,150.04686,0.0038557053,249.74622,0.008300781
491,2023-03-12T08,260.5174,259.97925,150.04686,0.0038776398,253.7294,0.057128906
492,2023-03-06T11,262.28735,261.95215,135.47655,0.017801285,260.27158,0.03564453
493,2023-03-06T13,261.6243,261.6427,136.28123,0.017495155,259.97122,0.026855469
494,2023-03-07T11,261.15808,262.69244,99.999985,0.00086021423,259.9295,0.0107421875
495,2023-03-07T09,259.6933,259.71686,103.624985,0.0006952286,256.42773,0.028808594
496,2023-03-07T08,258.4262,259.0193,104.3828,0.00067424774,252.03082,0.025390625
497,2023-03-06T09,260.3539,260.11426,135.18748,0.028878212,257.053,0.0014648438
498,2023-04-17T05,271.77234,271.22876,267.3203,0.08911991,272.26807,0.0029296875
