ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
289,2017-02-26T13,4.875818,1.0402949,259.17996,301.10324,1.3828129,0.4168659,257.7343,3.1508596e-05
290,2017-03-04T13,4.0443025,0.76854926,257.95462,266.17963,1.2373163,0.32981563,257.3376,9.186317e-11
291,2017-03-04T13,3.4043996,0.8624309,259.6599,255.30571,1.1445472,0.29217637,258.23798,7.0044644e-07
292,2017-03-04T13,3.766724,0.87730277,259.8202,248.96082,1.1045059,0.27488893,258.33826,7.0044644e-07
293,2017-03-04T13,3.8382735,0.72876817,257.97412,268.5616,1.2665874,0.34079584,257.03763,9.186317e-11
294,2017-03-05T13,4.6716194,0.7992139,254.8764,281.27277,1.3672192,0.3846402,253.72102,6.3014204e-06
295,2017-03-05T13,4.9288316,0.7208027,253.65955,294.93994,1.504853,0.44431648,253.0452,7.70213e-06
296,2017-03-06T13,4.7463727,0.57664216,252.8548,265.0527,1.2773575,0.33885515,251.45168,7.0044644e-07
297,2017-03-06T13,4.3798532,0.73668754,254.71953,260.45425,1.2021644,0.31321758,252.82065,7.0044644e-07
298,2017-03-06T13,3.8261452,0.8686467,256.1959,248.03685,1.1191084,0.2782085,253.5413,7.0044644e-07
299,2017-03-17T13,3.9730582,0.85801077,272.01343,267.70175,1.0175515,0.27230984,269.66232,0.0002863706
300,2017-03-17T13,4.6559825,0.77085143,270.61508,288.22653,1.365237,0.3934499,268.50415,0.00037809284
301,2017-03-17T13,4.8428655,0.5872781,270.35306,296.2164,1.4833786,0.43961796,268.5667,0.0004663133
302,2017-03-31T13,3.8366716,0.5685847,261.08792,315.7638,1.6933643,0.5347885,259.02075,7.0044644e-07
303,2017-03-31T13,3.6542127,0.49427128,262.24374,318.56772,1.7509815,0.5579491,259.7161,7.0044644e-07
304,2017-03-17T13,7.567342e-09,0.75901836,269.88074,310.47638,1.84864,0.5741386,267.75244,0.000802396
305,2017-03-17T13,1.0232803,0.7380228,270.18515,316.89606,1.9609671,0.62130255,268.28937,0.00097253744
306,2017-04-18T13,4.220812,0.67370075,264.90643,354.24976,2.0556524,0.72834706,261.03848,3.500002e-06
307,2017-04-14T13,4.9377565,0.8792826,263.88544,325.5482,1.6562302,0.53935933,262.46426,0.0003066753
308,2017-04-16T13,3.8409433,0.7310703,267.35626,324.60284,1.3310763,0.43203393,262.8157,0.00017504217
309,2017-04-16T13,4.5063233,0.92113566,266.6923,323.6255,1.4023709,0.4539178,261.96414,0.0001813435
310,2017-04-18T13,1.1291553,0.7934585,264.44595,354.90668,2.1132696,0.75002664,260.83124,2.8015102e-06
311,2017-04-18T13,0.45408773,0.7593867,264.21106,357.35275,2.200224,0.7862103,260.5051,3.500002e-06
312,2018-03-31T13,0.45408773,0.7539076,265.04803,285.4867,1.4365317,0.40984365,262.19888,0.00028356918
313,2018-03-31T13,1.1290027,0.7883478,264.47818,284.57874,1.4433373,0.41076294,261.52792,0.00021145129
314,2018-03-30T13,4.220354,0.66932666,264.0542,284.10342,1.4140662,0.40149358,261.51373,0.00021705226
315,2018-03-30T13,1.0232803,0.7380228,263.64462,278.71988,1.4277437,0.39789307,261.21066,0.00032277787
316,2018-03-30T13,7.567342e-09,0.75901836,262.8102,278.21783,1.4345495,0.39894003,260.58496,0.00023595811
317,2018-03-29T13,4.9074736,1.0697163,262.0326,274.95993,1.4375228,0.3951097,257.9278,5.601066e-06
