ID,ERA5_time,era5_l_rsn,era5_l_sde,era5_l_sd
37,2018-03-16T13,266.12057,1.3530428,0.35992512
38,2018-03-28T13,276.61404,1.4467697,0.40002638
39,2018-03-28T10,279.10596,1.4448421,0.4030508
40,2018-03-28T14,278.2692,1.4375169,0.39988533
41,2018-03-28T08,279.9518,1.4087306,0.39418122
42,2018-03-30T14,284.15378,1.4018768,0.39814588
43,2018-04-02T15,288.56604,1.3949801,0.40239266
44,2018-04-02T13,291.98157,1.3803726,0.40281576
45,2018-04-02T12,291.8764,1.3730476,0.4005435
46,2018-03-23T13,280.55994,1.3393779,0.37554878
47,2018-03-23T11,280.55994,1.3393779,0.37554878
48,2018-03-23T09,281.09946,1.3017672,0.36567625
49,2018-03-23T08,281.2092,1.2519908,0.35210544
50,2019-04-03T08,316.86404,2.4231915,0.7677075
51,2019-04-05T08,324.5501,2.3729012,0.76999545
52,2019-03-11T08,267.31396,1.5102967,0.40433583
53,2019-03-11T10,271.2873,1.5858607,0.43075657
54,2019-03-11T13,266.51837,1.4785974,0.39483938
55,2019-03-05T14,273.40427,1.270582,0.34745124
56,2019-03-05T12,281.9545,1.5244757,0.43049017
57,2019-03-05T08,273.3677,1.098164,0.30015713
58,2019-03-05T10,274.4422,1.2924287,0.35465977
59,2019-03-07T10,281.57956,1.4999301,0.4226862
60,2019-03-15T10,248.04626,1.251948,0.31035876
61,2019-03-15T12,243.51968,1.1831521,0.28807506
62,2019-03-26T10,284.50583,1.5209631,0.43280944
63,2019-03-26T12,293.55444,1.7832527,0.52398145
64,2019-03-26T13,298.1953,1.7777696,0.53045344
65,2019-03-26T09,282.69064,1.4663461,0.41456875
66,2019-03-16T08,255.27051,1.3178738,0.33616835
67,2019-03-17T07,259.5776,1.2968838,0.33634076
68,2019-04-08T14,325.57886,2.0694025,0.6742163
69,2019-04-08T11,333.32892,2.239336,0.7465678
70,2019-04-08T09,334.91553,2.3314352,0.7808709
71,2020-02-26T13,315.48322,1.5987118,0.5043774
72,2020-02-27T11,318.10773,1.7075601,0.54347575
73,2020-03-19T06,323.49847,1.4985594,0.48466372
74,2020-03-19T05,321.81586,1.4014056,0.45092475
75,2020-04-05T04,327.33463,1.9256421,0.63007194
76,2020-04-05T05,329.8997,1.6118627,0.5312683
77,2020-04-06T06,330.15576,1.677146,0.553646
78,2020-04-21T04,360.9045,1.2212769,0.44044107
79,2020-04-22T04,367.29202,1.3242565,0.4858547
80,2020-04-27T08,383.46884,1.964281,0.7531965
81,2020-04-28T04,394.511,2.3973608,0.9457891
82,2020-04-28T08,388.04572,2.1728961,0.8433499
83,2020-04-28T06,392.88324,2.319869,0.9115017
84,2020-04-28T12,389.79694,1.9575984,0.76305336
85,2020-04-28T11,385.24292,1.8496498,0.71265644
86,2020-04-29T03,381.83655,1.4374741,0.5490545
87,2020-04-29T04,381.83655,1.4374741,0.5490545
88,2020-04-29T05,384.47018,1.7046472,0.65545845
89,2020-04-29T09,386.2488,2.0220249,0.78110594
90,2020-04-29T10,390.69766,2.079512,0.8127607
91,2020-05-01T05,393.5691,1.9017822,0.74882436
92,2020-05-09T04,412.53958,2.3963757,0.98875815
93,2020-05-09T06,412.53958,2.3963757,0.98875815
