SD_interpolation,Inpunt_SD,ERA5_or_measurement
118.91785998900241,129.4508056640625,ERA5
135.52398543910837,127.71615600585938,ERA5
133.7153639641708,120.86478424072266,ERA5
116.83167489408079,113.86320495605469,ERA5
100.98548956059967,98.08826446533203,ERA5
87.46766512928413,79.89077758789062,ERA5
78.63692894362794,63.27177429199219,ERA5
105.85961571417435,120.99288940429688,ERA5
112.8624324648596,110.21792602539062,ERA5
110.74169964420138,98.6365737915039,ERA5
101.17596806594298,90.29563903808594,ERA5
88.6905200282005,72.03861236572266,ERA5
78.35376431406249,66.66989135742188,ERA5
71.34198326068804,60.18331527709961,ERA5
73.75435638427722,94.55098724365234,ERA5
92.97582972675762,87.53389739990234,ERA5
90.83869544967244,73.4612045288086,ERA5
85.19038127148079,67.53075408935547,ERA5
77.87429563213128,62.800716400146484,ERA5
70.49707656465804,57.41499710083008,ERA5
57.21687698364209,53.24588394165039,ERA5
71.22695657190083,65.0,Measurement
100.48731144362552,95.0,Measurement
109.29380915810917,105.0,Measurement
143.45392834399016,155.0,Measurement
144.6159328479035,60.0,Measurement
72.24775555878267,70.0,Measurement
102.81117205347373,115.0,Measurement
110.33536945584996,35.0,Measurement
141.76193722654352,140.0,Measurement
149.0722679618288,185.0,Measurement
71.55138091558389,130.0,Measurement
97.32816384416785,185.0,Measurement
104.7894883896112,100.0,Measurement
135.35919281555118,215.0,Measurement
145.28298546636202,95.0,Measurement
