ID,Triangle.x,Corner.x,Dates,SnowDepth,TriangleCorner,xcoord_EPSG_4326,ycoord_EPSG_4326
380,AC-37,C,2020-04-05,55,AC-37C,15.89264784,65.90691896
381,AC-38,C,2020-04-05,150,AC-38C,16.11606048,65.89957289
382,AC-39,C,2020-04-06,170,AC-39C,15.99713695,65.85558969
383,AC-36,C,2020-04-21,130,AC-36C,16.83500371,66.00692786
384,AC-35,C,2020-04-22,110,AC-35C,16.63015012,66.00485918
385,AC-28,C,2020-04-27,30,AC-28C,15.90602943,66.12572896
386,AC-23,C,2020-04-28,95,AC-23C,15.40240613,66.19702191
387,AC-22,C,2020-04-28,240+,AC-22C,15.74886754,66.27024759
388,AC-21,C,2020-04-28,165,AC-21C,15.54403889,66.2931197
389,AC-31,C,2020-04-28,90,AC-31C,15.68346284,65.98772306
390,AC-32,C,2020-04-28,240+,AC-32C,15.94437763,66.0264787
391,AC-34,C,2020-04-29,70,AC-34C,16.38630033,66.02781699
392,AC-30,C,2020-04-29,90,AC-30C,16.40948664,66.08242527
393,AC-29,C,2020-04-29,240+,AC-29C,16.21388604,66.13022809
394,AC-25,C,2020-04-29,210,AC-25C,15.92966596,66.18915009
395,AC-24,C,2020-04-29,150,AC-24C,15.78131809,66.18466847
396,AC-27,C,2020-05-01,240+,AC-27C,15.80351497,66.07257278
397,AC-43,C,2020-05-09,240+,AC-43C,15.2080681,66.09142172
398,AC-46,C,2020-05-09,200,AC-46C,15.18055162,66.16762289
399,AC-26,C,2020-04-29,130,AC-26C,16.12773116,66.17593417
400,AC-22,C,2021-04-12,140,AC-22C,15.74886754,66.27024759
401,AC-21,C,2021-04-12,90,AC-21C,15.54403889,66.2931197
402,AC-23,C,2021-04-12,45,AC-23C,15.40240613,66.19702191
403,AC-43,C,2021-04-17,100,AC-43C,15.2080681,66.09142172
404,AC-46,C,2021-04-17,80,AC-46C,15.18055162,66.16762289
405,AC-32,C,2021-05-03,240+,AC-32C,15.94437763,66.0264787
406,AC-27,C,2021-05-03,240,AC-27C,15.80351497,66.07257278
407,AC-32,C,2021-03-10,NA,AC-32C,15.94437763,66.0264787
408,AC-33,C,2021-03-10,75,AC-33C,16.08053297,66.03404496
409,AC-41,C,2021-03-15,100,AC-41C,16.30759412,65.80478255
410,AC-42,C,2021-03-16,90,AC-42C,15.68504701,65.89042994
411,AC-31,C,2021-03-16,150,AC-31C,15.68346284,65.98772306
412,AC-38,C,2021-03-18,85,AC-38C,16.11606048,65.89957289
413,AC-40,C,2021-03-18,160,AC-40C,16.13319552,65.84112738
414,AC-39,C,2021-03-18,80,AC-39C,15.99713695,65.85558969
415,AC-37,C,2021-03-18,25,AC-37C,15.89264784,65.90691896
416,AC-35,C,2021-03-26,90,AC-35C,16.63015012,66.00485918
417,AC-36,C,2021-03-26,125,AC-36C,16.83500371,66.00692786
418,AC-34,C,2021-03-26,30,AC-34C,16.38630033,66.02781699
419,AC-30,C,2021-03-26,50,AC-30C,16.40948664,66.08242527
420,AC-29,C,2021-03-28,90,AC-29C,16.21388604,66.13022809
421,AC-28,C,2021-03-28,30,AC-28C,15.90602943,66.12572896
422,AC-26,C,2021-04-12,75,AC-26C,16.12773116,66.17593417
423,AC-25,C,2021-04-12,150,AC-25C,15.92966596,66.18915009
424,AC-24,C,2021-04-12,35,AC-24C,15.78131809,66.18466847
425,AC-33,C,2022-01-31,35,AC-33C,16.08053297,66.03404496
426,AC-40,C,2022-02-19,175,AC-40C,16.13319552,65.84112738
427,AC-41,C,2022-02-19,120,AC-41C,16.30759412,65.80478255
428,AC-31,C,2022-03-04,70,AC-31C,15.68346284,65.98772306
429,AC-39,C,2022-03-09,40,AC-39C,15.99713695,65.85558969
430,AC-28,C,2022-03-12,45,AC-28C,15.90602943,66.12572896
431,AC-32,C,2022-03-12,165,AC-32C,15.94437763,66.0264787
432,AC-30,C,2022-03-13,75,AC-30C,16.40948664,66.08242527
433,AC-34,C,2022-03-13,75,AC-34C,16.38630033,66.02781699
434,AC-35,C,2022-03-13,85,AC-35C,16.63015012,66.00485918
435,AC-36,C,2022-03-13,150,AC-36C,16.83500371,66.00692786
436,AC-21,C,2022-03-14,165,AC-21C,15.54403889,66.2931197
437,AC-24,C,2022-03-14,195,AC-24C,15.78131809,66.18466847
438,AC-25,C,2022-03-14,190,AC-25C,15.92966596,66.18915009
439,AC-26,C,2022-03-14,70,AC-26C,16.12773116,66.17593417
440,AC-29,C,2022-03-14,50,AC-29C,16.21388604,66.13022809
441,AC-23,C,2022-03-15,75,AC-23C,15.40240613,66.19702191
442,AC-38,C,2022-03-15,100,AC-38C,16.11606048,65.89957289
443,AC-43,C,2022-03-15,160,AC-43C,15.2080681,66.09142172
444,AC-46,C,2022-03-15,260,AC-46C,15.18055162,66.16762289
445,AC-22,C,2022-03-16,240,AC-22C,15.74886754,66.27024759
446,AC-42,C,2022-03-16,125,AC-42C,15.68504701,65.89042994
447,AC-37,C,2022-04-15,30,AC-37C,15.89264784,65.90691896
