,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
57,62,AC-38,A,AC-38A,2019-03-05,35,-20.0,16.02861195,65.89659453,546872.4418,7308768.327
58,63,AC-37,A,AC-37A,2019-03-05,30,-17.0,15.84881121,65.9380027,538617.1852,7313260.876
59,64,AC-28,A,AC-28A,2019-03-07,90,-15.0,15.8491718,66.15323252,538308.6585,7337249.602
60,65,AC-35,A,AC-35A,2019-03-15,90,-10.0,16.55332624,65.98731394,570529.3876,7319369.401
61,66,AC-36,A,AC-36A,2019-03-15,130,-10.0,16.75175007,65.99519203,579512.604,7320484.624
62,67,AC-26,A,AC-26A,2019-03-26,110,-10.0,16.04425364,66.16381694,547089.1167,7338562.269
63,68,AC-25,A,AC-25A,2019-03-26,90,-10.0,15.84925843,66.20434872,538235.3079,7342946.922
64,69,AC-24,A,AC-24A,2019-03-26,80,-8.0,15.69390556,66.19086231,531257.926,7341357.54
65,70,AC-29,A,AC-29A,2019-03-26,100,-10.0,16.14107316,66.10983041,551564.2798,7332621.634
66,71,AC-34,A,AC-34A,2019-03-16,165,-4.0,16.33018168,66.05549638,560237.5303,7326734.951
67,72,AC-30,A,AC-30A,2019-03-17,60,-20.0,16.32392487,66.07345377,559911.9498,7328730.193
68,73,AC-22,A,AC-22A,2019-04-08,70,,15.66018048,66.26705978,529649.2181,7349834.175
69,74,AC-21,A,AC-21A,2019-04-08,85,-8.0,15.49256311,66.32241149,522072.9725,7355934.593
70,77,AC-23,A,AC-23A,2019-04-08,110,-10.0,15.37146429,66.23064849,516707.0051,7345668.731
71,78,AC-33,A,AC-33A,2020-02-26,170,-15.0,16.03670724,66.06518167,546930.7414,7327563.494
72,79,AC-42,A,AC-42A,2020-02-27,75,-15.0,15.76098076,65.90840731,534661.4522,7309911.059
73,80,AC-40,A,AC-40A,2020-03-19,170,-5.0,16.08976248,65.87227973,549705.8182,7306105.522
74,81,AC-41,A,AC-41A,2020-03-19,125,-5.0,16.26443367,65.83598422,557753.5181,7302210.037
75,82,AC-37,A,AC-37A,2020-04-05,160,-15.0,15.84881121,65.9380027,538617.1852,7313260.876
76,83,AC-38,A,AC-38A,2020-04-05,160,-10.0,16.02861195,65.89659453,546872.4418,7308768.327
77,84,AC-39,A,AC-39A,2020-04-06,135,-10.0,15.93640688,65.88145457,542696.2178,7307015.189
78,85,AC-36,A,AC-36A,2020-04-21,125,-2.0,16.75175007,65.99519203,579512.604,7320484.624
79,86,AC-35,A,AC-35A,2020-04-22,100,-6.0,16.55332624,65.98731394,570529.3876,7319369.401
80,87,AC-28,A,AC-28A,2020-04-27,190,-1.0,15.8491718,66.15323252,538308.6585,7337249.602
81,88,AC-23,A,AC-23A,2020-04-28,80,-3.0,15.37146429,66.23064849,516707.0051,7345668.731
82,89,AC-22,A,AC-22A,2020-04-28,190,-1.0,15.66018048,66.26705978,529649.2181,7349834.175
83,90,AC-21,A,AC-21A,2020-04-28,200,-3.0,15.49256311,66.32241149,522072.9725,7355934.593
84,91,AC-31,A,AC-31A,2020-04-28,150,-10.0,15.59576559,65.98449828,527055.8412,7318310.67
85,92,AC-32,A,AC-32A,2020-04-28,240+,-1.0,15.88210448,66.05188319,539953.2836,7325974.195
86,93,AC-34,A,AC-34A,2020-04-29,210,-5.0,16.33018168,66.05549638,560237.5303,7326734.951
87,94,AC-30,A,AC-30A,2020-04-29,130,-5.0,16.32392487,66.07345377,559911.9498,7328730.193
88,95,AC-29,A,AC-29A,2020-04-29,95,-5.0,16.14107316,66.10983041,551564.2798,7332621.634
89,96,AC-25,A,AC-25A,2020-04-29,180,-3.0,15.84925843,66.20434872,538235.3079,7342946.922
90,97,AC-24,A,AC-24A,2020-04-29,140,-2.0,15.69390556,66.19086231,531257.926,7341357.54
91,98,AC-27,A,AC-27A,2020-05-01,240+,-5.0,15.71649311,66.07877936,532418.2506,7328876.351
92,99,AC-43,A,AC-43A,2020-05-09,240+,-2.0,15.25159463,66.12264974,511364.1247,7333603.857
93,100,AC-46,A,AC-46A,2020-05-09,190,-3.0,15.24173924,66.1936143,510888.4485,7341512.132
94,101,AC-26,A,AC-26A,2020-04-29,150,-3.0,16.04425364,66.16381694,547089.1167,7338562.269
95,102,AC-22,A,AC-22A,2021-04-12,140,-5.0,15.66018048,66.26705978,529649.2181,7349834.175
96,103,AC-21,A,AC-21A,2021-04-12,60,-5.0,15.49256311,66.32241149,522072.9725,7355934.593
97,104,AC-23,A,AC-23A,2021-04-12,100,-5.0,15.37146429,66.23064849,516707.0051,7345668.731
98,105,AC-43,A,AC-43A,2021-04-17,170,-8.0,15.25159463,66.12264974,511364.1247,7333603.857
99,106,AC-46,A,AC-46A,2021-04-17,45,-6.0,15.24173924,66.1936143,510888.4485,7341512.132
