ID,Triangle,Corner,date,SnowDepth,CornerTriangle,longitude,latitude,temperature
352,AC-32,C,2019-03-11,250+,AC-32C,15.94437763,66.0264787,-15.0
353,AC-27,C,2019-03-11,210,AC-27C,15.80351497,66.07257278,-15.0
354,AC-42,C,2019-03-11,110,AC-42C,15.68504701,65.89042994,-10.0
358,AC-33,C,2019-03-05,40,AC-33C,16.08053297,66.03404496,-10.0
359,AC-31,C,2019-03-05,50,AC-31C,15.68346284,65.98772306,-15.0
360,AC-38,C,2019-03-05,45,AC-38C,16.11606048,65.89957289,-20.0
361,AC-37,C,2019-03-05,45,AC-37C,15.89264784,65.90691896,-17.0
362,AC-28,C,2019-03-07,35,AC-28C,15.90602943,66.12572896,-15.0
363,AC-35,C,2019-03-15,80,AC-35C,16.63015012,66.00485918,-10.0
364,AC-36,C,2019-03-15,90,AC-36C,16.83500371,66.00692786,-10.0
365,AC-26,C,2019-03-26,30,AC-26C,16.12773116,66.17593417,-10.0
366,AC-25,C,2019-03-26,75,AC-25C,15.92966596,66.18915009,-10.0
367,AC-24,C,2019-03-26,55,AC-24C,15.78131809,66.18466847,-8.0
368,AC-29,C,2019-03-26,250,AC-29C,16.21388604,66.13022809,-10.0
369,AC-34,C,2019-03-16,30,AC-34C,16.38630033,66.02781699,-4.0
370,AC-30,C,2019-03-17,35,AC-30C,16.40948664,66.08242527,-20.0
371,AC-22,C,2019-04-08,170,AC-22C,15.74886754,66.27024759,
372,AC-21,C,2019-04-08,130,AC-21C,15.54403889,66.2931197,-8.0
375,AC-23,C,2019-04-08,60,AC-23C,15.40240613,66.19702191,-10.0
376,AC-33,C,2020-02-26,70,AC-33C,16.08053297,66.03404496,-15.0
377,AC-42,C,2020-02-27,135,AC-42C,15.68504701,65.89042994,-15.0
378,AC-40,C,2020-03-19,230+,AC-40C,16.13319552,65.84112738,-5.0
379,AC-41,C,2020-03-19,220,AC-41C,16.30759412,65.80478255,-5.0
380,AC-37,C,2020-04-05,55,AC-37C,15.89264784,65.90691896,-15.0
381,AC-38,C,2020-04-05,150,AC-38C,16.11606048,65.89957289,-10.0
382,AC-39,C,2020-04-06,170,AC-39C,15.99713695,65.85558969,-10.0
383,AC-36,C,2020-04-21,130,AC-36C,16.83500371,66.00692786,-2.0
384,AC-35,C,2020-04-22,110,AC-35C,16.63015012,66.00485918,-6.0
385,AC-28,C,2020-04-27,30,AC-28C,15.90602943,66.12572896,-1.0
386,AC-23,C,2020-04-28,95,AC-23C,15.40240613,66.19702191,-3.0
387,AC-22,C,2020-04-28,240+,AC-22C,15.74886754,66.27024759,-1.0
388,AC-21,C,2020-04-28,165,AC-21C,15.54403889,66.2931197,-3.0
389,AC-31,C,2020-04-28,90,AC-31C,15.68346284,65.98772306,-10.0
390,AC-32,C,2020-04-28,240+,AC-32C,15.94437763,66.0264787,-1.0
391,AC-34,C,2020-04-29,70,AC-34C,16.38630033,66.02781699,-5.0
392,AC-30,C,2020-04-29,90,AC-30C,16.40948664,66.08242527,-5.0
393,AC-29,C,2020-04-29,240+,AC-29C,16.21388604,66.13022809,-5.0
394,AC-25,C,2020-04-29,210,AC-25C,15.92966596,66.18915009,-3.0
395,AC-24,C,2020-04-29,150,AC-24C,15.78131809,66.18466847,-2.0
396,AC-27,C,2020-05-01,240+,AC-27C,15.80351497,66.07257278,-5.0
397,AC-43,C,2020-05-09,240+,AC-43C,15.2080681,66.09142172,-2.0
398,AC-46,C,2020-05-09,200,AC-46C,15.18055162,66.16762289,-3.0
399,AC-26,C,2020-04-29,130,AC-26C,16.12773116,66.17593417,-3.0
400,AC-22,C,2021-04-12,140,AC-22C,15.74886754,66.27024759,-5.0
401,AC-21,C,2021-04-12,90,AC-21C,15.54403889,66.2931197,-5.0
402,AC-23,C,2021-04-12,45,AC-23C,15.40240613,66.19702191,-5.0
403,AC-43,C,2021-04-17,100,AC-43C,15.2080681,66.09142172,-8.0
404,AC-46,C,2021-04-17,80,AC-46C,15.18055162,66.16762289,-6.0
405,AC-32,C,2021-05-03,240+,AC-32C,15.94437763,66.0264787,-8.0
406,AC-27,C,2021-05-03,240,AC-27C,15.80351497,66.07257278,-8.0
408,AC-33,C,2021-03-10,75,AC-33C,16.08053297,66.03404496,-20.0
409,AC-41,C,2021-03-15,100,AC-41C,16.30759412,65.80478255,-10.0
410,AC-42,C,2021-03-16,90,AC-42C,15.68504701,65.89042994,-10.0
411,AC-31,C,2021-03-16,150,AC-31C,15.68346284,65.98772306,-5.0
412,AC-38,C,2021-03-18,85,AC-38C,16.11606048,65.89957289,-10.0
413,AC-40,C,2021-03-18,160,AC-40C,16.13319552,65.84112738,-10.0
414,AC-39,C,2021-03-18,80,AC-39C,15.99713695,65.85558969,-10.0
415,AC-37,C,2021-03-18,25,AC-37C,15.89264784,65.90691896,-10.0
416,AC-35,C,2021-03-26,90,AC-35C,16.63015012,66.00485918,-8.0
417,AC-36,C,2021-03-26,125,AC-36C,16.83500371,66.00692786,-8.0
418,AC-34,C,2021-03-26,30,AC-34C,16.38630033,66.02781699,-6.0
419,AC-30,C,2021-03-26,50,AC-30C,16.40948664,66.08242527,-6.0
420,AC-29,C,2021-03-28,90,AC-29C,16.21388604,66.13022809,-5.0
421,AC-28,C,2021-03-28,30,AC-28C,15.90602943,66.12572896,-5.0
422,AC-26,C,2021-04-12,75,AC-26C,16.12773116,66.17593417,-11.0
423,AC-25,C,2021-04-12,150,AC-25C,15.92966596,66.18915009,
424,AC-24,C,2021-04-12,35,AC-24C,15.78131809,66.18466847,-10.0
425,AC-33,C,2022-01-31,35,AC-33C,16.08053297,66.03404496,-19.6
426,AC-40,C,2022-02-19,175,AC-40C,16.13319552,65.84112738,-15.0
427,AC-41,C,2022-02-19,120,AC-41C,16.30759412,65.80478255,-15.0
428,AC-31,C,2022-03-04,70,AC-31C,15.68346284,65.98772306,-11.5
429,AC-39,C,2022-03-09,40,AC-39C,15.99713695,65.85558969,-7.0
430,AC-28,C,2022-03-12,45,AC-28C,15.90602943,66.12572896,-3.0
431,AC-32,C,2022-03-12,165,AC-32C,15.94437763,66.0264787,0.0
432,AC-30,C,2022-03-13,75,AC-30C,16.40948664,66.08242527,-5.0
433,AC-34,C,2022-03-13,75,AC-34C,16.38630033,66.02781699,
434,AC-35,C,2022-03-13,85,AC-35C,16.63015012,66.00485918,-8.4
435,AC-36,C,2022-03-13,150,AC-36C,16.83500371,66.00692786,-5.0
436,AC-21,C,2022-03-14,165,AC-21C,15.54403889,66.2931197,-1.0
437,AC-24,C,2022-03-14,195,AC-24C,15.78131809,66.18466847,-2.0
438,AC-25,C,2022-03-14,190,AC-25C,15.92966596,66.18915009,-2.0
439,AC-26,C,2022-03-14,70,AC-26C,16.12773116,66.17593417,-6.0
440,AC-29,C,2022-03-14,50,AC-29C,16.21388604,66.13022809,-8.4
441,AC-23,C,2022-03-15,75,AC-23C,15.40240613,66.19702191,-1.0
442,AC-38,C,2022-03-15,100,AC-38C,16.11606048,65.89957289,-17.0
443,AC-43,C,2022-03-15,160,AC-43C,15.2080681,66.09142172,-4.0
444,AC-46,C,2022-03-15,260,AC-46C,15.18055162,66.16762289,-3.0
445,AC-22,C,2022-03-16,240,AC-22C,15.74886754,66.27024759,-2.0
446,AC-42,C,2022-03-16,125,AC-42C,15.68504701,65.89042994,
447,AC-37,C,2022-04-15,30,AC-37C,15.89264784,65.90691896,-5.0
