ID,Triangle,Corner,date,SnowDepth,CornerTriangle,longitude,latitude,temperature
127,AC-33,A,2022-01-31,90,AC-33A,16.03670724,66.06518167,-19.6
128,AC-40,A,2022-02-19,130,AC-40A,16.08976248,65.87227973,-15.0
129,AC-41,A,2022-02-19,100,AC-41A,16.26443367,65.83598422,-15.0
130,AC-31,A,2022-03-04,180,AC-31A,15.59576559,65.98449828,-11.5
131,AC-39,A,2022-03-09,70,AC-39A,15.93640688,65.88145457,-7.0
132,AC-28,A,2022-03-12,80,AC-28A,15.8491718,66.15323252,-3.0
133,AC-32,A,2022-03-12,130,AC-32A,15.88210448,66.05188319,0.0
134,AC-30,A,2022-03-13,90,AC-30A,16.32392487,66.07345377,-5.0
135,AC-34,A,2022-03-13,150,AC-34A,16.33018168,66.05549638,
136,AC-35,A,2022-03-13,80,AC-35A,16.55332624,65.98731394,-8.4
137,AC-36,A,2022-03-13,110,AC-36A,16.75175007,65.99519203,-5.0
138,AC-21,A,2022-03-14,155,AC-21A,15.49256311,66.32241149,-1.0
139,AC-24,A,2022-03-14,130,AC-24A,15.69390556,66.19086231,-2.0
140,AC-25,A,2022-03-14,100,AC-25A,15.84925843,66.20434872,-2.0
141,AC-26,A,2022-03-14,135,AC-26A,16.04425364,66.16381694,-6.0
142,AC-29,A,2022-03-14,180,AC-29A,16.14107316,66.10983041,-8.4
143,AC-23,A,2022-03-15,120,AC-23A,15.37146429,66.23064849,-1.0
144,AC-38,A,2022-03-15,75,AC-38A,16.02861195,65.89659453,-17.0
145,AC-43,A,2022-03-15,220,AC-43A,15.25159463,66.12264974,-4.0
146,AC-46,A,2022-03-15,155,AC-46A,15.24173924,66.1936143,-3.0
147,AC-22,A,2022-03-16,195,AC-22A,15.66018048,66.26705978,-2.0
148,AC-42,A,2022-03-16,60,AC-42A,15.76098076,65.90840731,
149,AC-37,A,2022-04-15,130,AC-37A,15.84881121,65.9380027,-5.0
150,AC-42,B,2017-02-21,85,AC-42B,15.76104404,65.87253495,-5.0
151,AC-38,B,2017-02-26,75,AC-38B,16.06601119,65.92904529,-10.0
152,AC-37,B,2017-02-26,70,AC-37B,15.93669383,65.93795328,-8.0
153,AC-31,B,2017-02-26,60,AC-31B,15.63274264,66.01705338,-8.0
154,AC-39,B,2017-03-04,70,AC-39B,16.0215596,65.89003991,-15.0
155,AC-40,B,2017-03-04,75,AC-40B,16.17741866,65.87209272,-9.0
156,AC-41,B,2017-03-04,13,AC-41B,16.35196411,65.83569752,-9.0
157,AC-33,B,2017-03-04,30,AC-33B,16.12502754,66.06502455,-7.0
158,AC-32,B,2017-03-05,125,AC-32B,15.96743701,66.06109946,-14.0
159,AC-27,B,2017-03-05,70,AC-27B,15.77325645,66.10627946,-10.0
160,AC-30,B,2017-03-06,130,AC-30B,16.3475215,66.10802569,-10.0
161,AC-34,B,2017-03-06,125,AC-34B,16.41726798,66.06140904,-10.0
162,AC-35,B,2017-03-06,95,AC-35B,16.55437651,66.02318273,-10.0
163,AC-36,B,2017-03-17,70,AC-36B,16.76838233,66.0304171,-10.0
164,AC-29,B,2017-03-17,115,AC-29B,16.13381444,66.1455831,-10.0
165,AC-26,B,2017-03-17,35,AC-26B,16.06001278,66.19911613,-15.0
166,AC-25,B,2017-03-31,145,AC-25B,15.92210788,66.22488338,-10.0
167,AC-24,B,2017-03-31,60,AC-24B,15.75089585,66.21837029,-8.0
168,AC-22,B,2017-03-17,140,AC-22B,15.6976547,66.29959822,-7.0
169,AC-21,B,2017-03-17,185,AC-21B,15.58142379,66.32569497,-5.0
170,AC-23,B,2017-04-18,70,AC-23B,15.45909231,66.2246367,-10.0
171,AC-28,B,2017-04-14,50,AC-28B,15.93648025,66.15941633,
172,AC-33,B,2017-04-16,15,AC-33B,16.12502754,66.06502455,-8.0
173,AC-37,B,2017-04-16,70,AC-37B,15.93669383,65.93795328,-10.0
174,AC-43,B,2017-04-18,80,AC-43B,15.29647724,66.09173882,-5.0
175,AC-46,B,2017-04-18,45,AC-46B,15.26675247,66.15918547,-5.0
176,AC-46,B,2018-03-31,110,AC-46B,15.26675247,66.15918547,-10.0
177,AC-43,B,2018-03-31,40,AC-43B,15.29647724,66.09173882,-10.0
178,AC-23,B,2018-03-30,120,AC-23B,15.45909231,66.2246367,-8.0
179,AC-21,B,2018-03-30,80,AC-21B,15.58142379,66.32569497,-5.0
180,AC-22,B,2018-03-30,60,AC-22B,15.6976547,66.29959822,-5.0
181,AC-42,B,2018-03-29,110,AC-42B,15.76104404,65.87253495,-10.0
182,AC-37,B,2018-03-15,45,AC-37B,15.93669383,65.93795328,-15.0
183,AC-37,B,2018-04-17,50,AC-37B,15.93669383,65.93795328,0.0
184,AC-39,B,2018-03-15,120,AC-39B,16.0215596,65.89003991,-15.0
185,AC-38,B,2018-03-15,120,AC-38B,16.06601119,65.92904529,-15.0
186,AC-40,B,2018-03-16,115,AC-40B,16.17741866,65.87209272,-15.0
187,AC-41,B,2018-03-16,200,AC-41B,16.35196411,65.83569752,-20.0
188,AC-31,B,2018-03-16,125,AC-31B,15.63274264,66.01705338,-10.0
189,AC-27,B,2018-03-28,60,AC-27B,15.77325645,66.10627946,-8.0
190,AC-28,B,2018-03-28,55,AC-28B,15.93648025,66.15941633,-8.0
191,AC-32,B,2018-03-28,250,AC-32B,15.96743701,66.06109946,-5.0
192,AC-33,B,2018-03-28,130,AC-33B,16.12502754,66.06502455,-10.0
193,AC-24,B,2018-03-30,90,AC-24B,15.75089585,66.21837029,-5.0
194,AC-25,B,2018-04-02,110,AC-25B,15.92210788,66.22488338,-5.0
195,AC-26,B,2018-04-02,75,AC-26B,16.06001278,66.19911613,-5.0
196,AC-29,B,2018-04-02,90,AC-29B,16.13381444,66.1455831,-5.0
197,AC-30,B,2018-03-23,165,AC-30B,16.3475215,66.10802569,-10.0
198,AC-34,B,2018-03-23,115,AC-34B,16.41726798,66.06140904,-10.0
199,AC-35,B,2018-03-23,120,AC-35B,16.55437651,66.02318273,-10.0
200,AC-36,B,2018-03-23,110,AC-36B,16.76838233,66.0304171,-15.0
201,AC-43,B,2019-04-03,30,AC-43B,15.29647724,66.09173882,-10.0
202,AC-46,B,2019-04-05,125,AC-46B,15.26675247,66.15918547,-5.0
203,AC-32,B,2019-03-11,58,AC-32B,15.96743701,66.06109946,-15.0
204,AC-27,B,2019-03-11,30,AC-27B,15.77325645,66.10627946,-15.0
205,AC-42,B,2019-03-11,90,AC-42B,15.76104404,65.87253495,-10.0
209,AC-33,B,2019-03-05,10,AC-33B,16.12502754,66.06502455,-10.0
210,AC-31,B,2019-03-05,50,AC-31B,15.63274264,66.01705338,-15.0
211,AC-38,B,2019-03-05,80,AC-38B,16.06601119,65.92904529,-20.0
212,AC-37,B,2019-03-05,40,AC-37B,15.93669383,65.93795328,-17.0
213,AC-28,B,2019-03-07,30,AC-28B,15.93648025,66.15941633,-15.0
214,AC-35,B,2019-03-15,135,AC-35B,16.55437651,66.02318273,-10.0
215,AC-36,B,2019-03-15,65,AC-36B,16.76838233,66.0304171,-10.0
216,AC-26,B,2019-03-26,75,AC-26B,16.06001278,66.19911613,-10.0
217,AC-25,B,2019-03-26,45,AC-25B,15.92210788,66.22488338,-10.0
218,AC-24,B,2019-03-26,30,AC-24B,15.75089585,66.21837029,-8.0
219,AC-29,B,2019-03-26,75,AC-29B,16.13381444,66.1455831,-10.0
220,AC-34,B,2019-03-16,150,AC-34B,16.41726798,66.06140904,-4.0
221,AC-30,B,2019-03-17,145,AC-30B,16.3475215,66.10802569,-20.0
222,AC-22,B,2019-04-08,160,AC-22B,15.6976547,66.29959822,
223,AC-21,B,2019-04-08,170,AC-21B,15.58142379,66.32569497,-8.0
226,AC-23,B,2019-04-08,185,AC-23B,15.45909231,66.2246367,-10.0
227,AC-33,B,2020-02-26,90,AC-33B,16.12502754,66.06502455,-15.0
228,AC-42,B,2020-02-27,130,AC-42B,15.76104404,65.87253495,-15.0
229,AC-40,B,2020-03-19,125,AC-40B,16.17741866,65.87209272,-5.0
230,AC-41,B,2020-03-19,210,AC-41B,16.35196411,65.83569752,-5.0
231,AC-37,B,2020-04-05,120,AC-37B,15.93669383,65.93795328,-15.0
