,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
10,1,2,AC-38,A,AC-38A,2017-02-26,50,50,-10.0,16.02861195,65.89659453,546872.4418,7308768.327,07:55:00,05:28:38,02:26:00,S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807,DESCENDING,66,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
11,145,153,AC-31,B,AC-31B,2017-02-26,60,60,-8.0,15.63274264,66.01705338,528698.4479,7321955.65,12:52:30,05:28:38,07:23:00,S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807,DESCENDING,66,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
12,144,152,AC-37,B,AC-37B,2017-02-26,70,70,-8.0,15.93669383,65.93795328,542615.3144,7313312.254,10:27:30,05:28:38,04:58:00,S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807,DESCENDING,66,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
13,2,3,AC-37,A,AC-37A,2017-02-26,45,45,-8.0,15.84881121,65.9380027,538617.1852,7313260.876,10:27:30,05:28:38,04:58:00,S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807,DESCENDING,66,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
14,288,301,AC-37,C,AC-37C,2017-02-26,20,20,-8.0,15.89264784,65.90691896,540660.7363,7309824.185,10:27:30,05:28:38,04:58:00,S1B_IW_SLC__1SDV_20170226T052838_20170226T052905_004467_007C67_A807,DESCENDING,66,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/54_2017-02-26_clip_500/S1B__IW___D_20170226T052838_VV_gamma0-rtc.tif
15,293,306,AC-33,C,AC-33C,2017-03-04,40,40,-7.0,16.08053297,66.03404496,548974.3517,7324126.804,13:57:30,05:29:31,08:27:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
16,292,305,AC-41,C,AC-41C,2017-03-04,125,125,-9.0,16.30759412,65.80478255,559797.0704,7298773.267,11:50:00,05:29:31,06:20:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
17,291,304,AC-40,C,AC-40C,2017-03-04,155,155,-9.0,16.13319552,65.84112738,551749.3676,7302668.783,10:12:30,05:29:31,04:42:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
18,290,303,AC-39,C,AC-39C,2017-03-04,30,30,-15.0,15.99713695,65.85558969,545510.8611,7304175.201,08:35:00,05:29:31,03:05:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
19,149,157,AC-33,B,AC-33B,2017-03-04,30,30,-7.0,16.12502754,66.06502455,550928.8997,7327614.924,13:57:30,05:29:31,08:27:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
20,148,156,AC-41,B,AC-41B,2017-03-04,13,13,-9.0,16.35196411,65.83569752,561751.7168,7302261.377,11:50:00,05:29:31,06:20:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
21,146,154,AC-39,B,AC-39B,2017-03-04,70,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,08:35:00,05:29:31,03:05:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
22,147,155,AC-40,B,AC-40B,2017-03-04,75,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875,10:12:30,05:29:31,04:42:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
23,4,5,AC-39,A,AC-39A,2017-03-04,60,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,08:35:00,05:29:31,03:05:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
24,5,6,AC-40,A,AC-40A,2017-03-04,82,82,-9.0,16.08976248,65.87227973,549705.8182,7306105.522,10:12:30,05:29:31,04:42:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
25,6,7,AC-41,A,AC-41A,2017-03-04,70,70,-9.0,16.26443367,65.83598422,557753.5181,7302210.037,11:50:00,05:29:31,06:20:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
26,7,8,AC-33,A,AC-33A,2017-03-04,35,35,-7.0,16.03670724,66.06518167,546930.7414,7327563.494,13:57:30,05:29:31,08:27:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/53_2017-03-04_clip_500/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
27,152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,09:15:00,16:31:04,07:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/51_2017-03-06_clip_500/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/51_2017-03-06_clip_500/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/51_2017-03-06_clip_500/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/51_2017-03-06_clip_500/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
28,152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,09:15:00,05:13:04,04:01:00,S1A_IW_SLC__1SDV_20170306T051304_20170306T051331_015567_01996C_E18E,DESCENDING,95,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/52_2017-03-06_clip_500/S1A__IW___D_20170306T051304_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/52_2017-03-06_clip_500/S1A__IW___D_20170306T051304_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/52_2017-03-06_clip_500/S1A__IW___D_20170306T051304_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_500/52_2017-03-06_clip_500/S1A__IW___D_20170306T051304_VV_gamma0-rtc.tif
