,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
10,4,5,AC-39,A,AC-39A,2017-03-04,60,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,08:35:00,2017-03-03,minus,0.0,-12.7,05:36:55,26:58:00,S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5,DESCENDING,139,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif
11,5,6,AC-40,A,AC-40A,2017-03-04,82,82,-9.0,16.08976248,65.87227973,549705.8182,7306105.522,10:12:30,2017-03-03,minus,0.0,-12.7,05:36:55,28:35:00,S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5,DESCENDING,139,371,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/30_2017-03-03_clip_1000/S1B__IW___D_20170303T053655_VV_gamma0-rtc.tif
12,295,308,AC-27,C,AC-27C,2017-03-05,140,140,-10.0,15.80351497,66.07257278,536364.3222,7328232.328,11:15:00,2017-03-06,plus,0.0,-14.9,16:31:04,29:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
13,8,9,AC-32,A,AC-32A,2017-03-05,135,135,-14.0,15.88210448,66.05188319,539953.2836,7325974.195,09:27:30,2017-03-04,minus,0.0,-14.9,05:29:31,27:57:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
14,9,10,AC-27,A,AC-27A,2017-03-05,90,90,-10.0,15.71649311,66.07877936,532418.2506,7328876.351,11:15:00,2017-03-04,minus,0.0,-14.9,05:29:31,29:45:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
15,294,307,AC-32,C,AC-32C,2017-03-05,185,185,-14.0,15.94437763,66.0264787,542816.3157,7323183.87,09:27:30,2017-03-06,plus,0.0,-14.9,16:31:04,31:03:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
16,151,159,AC-27,B,AC-27B,2017-03-05,70,70,-10.0,15.77325645,66.10627946,534948.6291,7331971.961,11:15:00,2017-03-06,plus,0.0,-14.9,16:31:04,29:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
17,150,158,AC-32,B,AC-32B,2017-03-05,125,125,-14.0,15.96743701,66.06109946,543802.1738,7327058.39,09:27:30,2017-03-06,plus,0.0,-14.9,16:31:04,31:03:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
18,295,308,AC-27,C,AC-27C,2017-03-05,140,140,-10.0,15.80351497,66.07257278,536364.3222,7328232.328,11:15:00,2017-03-04,minus,0.0,-14.9,05:29:31,29:45:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/29_2017-03-04_clip_1000/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
19,9,10,AC-27,A,AC-27A,2017-03-05,90,90,-10.0,15.71649311,66.07877936,532418.2506,7328876.351,11:15:00,2017-03-06,plus,0.0,-14.9,16:31:04,29:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5_1000/28_2017-03-06_clip_1000/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
