"","X","ID_clean","ID_preclean","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","MiddleTime","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle"
"133",132,42,44,"AC-24","A","AC-24A","2018-03-30","90",90,"-5",15.69390556,66.19086231,531257.926,7341357.54,"14:02:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VV_gamma0-rtc.tif","0.005","0.035","44.528"
"135",134,170,178,"AC-23","B","AC-23B","2018-03-30","120",120,"-8",15.45909231,66.2246367,520653.0315,7345024.777,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VV_gamma0-rtc.tif","0.006","0.026","43.69"
"136",135,170,178,"AC-23","B","AC-23B","2018-03-30","120",120,"-8",15.45909231,66.2246367,520653.0315,7345024.777,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VV_gamma0-rtc.tif","0.004","0.03","45.044"
"140",139,171,179,"AC-21","B","AC-21B","2018-03-30","80",80,"-5",15.58142379,66.32569497,526051.5524,7356334.762,"10:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.006","0.049","45.652"
"143",142,172,180,"AC-22","B","AC-22B","2018-03-30","60",60,"-5",15.6976547,66.29959822,531291.7265,7353479.21,"12:35:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.006","0.042","42.025"
"144",143,315,328,"AC-21","C","AC-21C","2018-03-30","25",25,"-5",15.54403889,66.2931197,524408.0744,7352688.726,"10:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VV_gamma0-rtc.tif","0.009","0.034","44.4"
"146",145,315,328,"AC-21","C","AC-21C","2018-03-30","25",25,"-5",15.54403889,66.2931197,524408.0744,7352688.726,"10:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.004","0.029","43.108"
"147",146,314,327,"AC-23","C","AC-23C","2018-03-30","65",65,"-8",15.40240613,66.19702191,518122.7213,7341929.176,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VV_gamma0-rtc.tif","0.011","0.041","43.957"
"148",147,314,327,"AC-23","C","AC-23C","2018-03-30","65",65,"-8",15.40240613,66.19702191,518122.7213,7341929.176,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VV_gamma0-rtc.tif","0.012","0.059","46.31"
"152",151,316,329,"AC-22","C","AC-22C","2018-03-30","65",65,"-5",15.74886754,66.27024759,533627.8269,7350234.324,"12:35:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.003","0.022","42.019"
"154",153,329,342,"AC-24","C","AC-24C","2018-03-30","30",30,"-5",15.78131809,66.18466847,535204.0008,7340713.562,"14:02:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VV_gamma0-rtc.tif","0.004","0.03","43.816"
"158",157,29,31,"AC-22","A","AC-22A","2018-03-30","80",80,"-5",15.66018048,66.26705978,529649.2181,7349834.175,"12:35:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.007","0.042","42.98"
"159",158,28,30,"AC-21","A","AC-21A","2018-03-30","85",85,"-5",15.49256311,66.32241149,522072.9725,7355934.593,"10:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VV_gamma0-rtc.tif","0.004","0.027","37.626"
"161",160,28,30,"AC-21","A","AC-21A","2018-03-30","85",85,"-5",15.49256311,66.32241149,522072.9725,7355934.593,"10:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/41_2018-03-30_clip/S1A__IW___D_20180330T052106_VV_gamma0-rtc.tif","0.003","0.025","50.326"
"162",161,27,29,"AC-23","A","AC-23A","2018-03-30","75",75,"-8",15.37146429,66.23064849,516707.0051,7345668.731,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/39_2018-03-30_clip/S1A__IW___A_20180330T163914_VV_gamma0-rtc.tif","0.012","0.052","36.565"
"163",162,27,29,"AC-23","A","AC-23A","2018-03-30","75",75,"-8",15.37146429,66.23064849,516707.0051,7345668.731,"09:10:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/40_2018-03-30_clip/S1A__IW___D_20180330T052131_VV_gamma0-rtc.tif","0.012","0.053","50.961"
"165",164,313,326,"AC-43","C","AC-43C","2018-03-31","80",80,"-10",15.2080681,66.09142172,509409.665,7330115.849,"08:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.006","0.04","38.933"
"166",165,26,28,"AC-43","A","AC-43A","2018-03-31","100",100,"-10",15.25159463,66.12264974,511364.1247,7333603.857,"08:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.004","0.024","46.06"
"167",166,312,325,"AC-46","C","AC-46C","2018-03-31","90",90,"-10",15.18055162,66.16762289,508140.7873,7338605.705,"10:32:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.009","0.056","48.592"
"168",167,168,176,"AC-46","B","AC-46B","2018-03-31","110",110,"-10",15.26675247,66.15918547,512031.4368,7337679.111,"10:32:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.006","0.051","37.406"
"169",168,169,177,"AC-43","B","AC-43B","2018-03-31","40",40,"-10",15.29647724,66.09173882,513407.6892,7330167.287,"08:52:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.007","0.064","38.116"
"170",169,25,27,"AC-46","A","AC-46A","2018-03-31","110",110,"-10",15.24173924,66.1936143,510888.4485,7341512.132,"10:32:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/38_2018-03-31_clip/S1B__IW___A_20180331T163024_VV_gamma0-rtc.tif","0.009","0.051","44.959"
"173",172,45,47,"AC-29","A","AC-29A","2018-04-02","145",145,"-5",16.14107316,66.10983041,551564.2798,7332621.634,"12:12:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VV_gamma0-rtc.tif","0.009","0.076","28.063"
"175",174,332,345,"AC-29","C","AC-29C","2018-04-02","85",85,"-5",16.21388604,66.13022809,554810.2752,7334956.739,"12:12:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VV_gamma0-rtc.tif","0.006","0.057","30.757"
"178",177,331,344,"AC-26","C","AC-26C","2018-04-02","50",50,"-5",16.12773116,66.17593417,550828.7822,7339978.009,"13:45:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VV_gamma0-rtc.tif","0.006","0.083","27.326"
"179",178,188,196,"AC-29","B","AC-29B","2018-04-02","90",90,"-5",16.13381444,66.1455831,551164.1776,7336600.318,"12:12:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/37_2018-04-02_clip/S1B__IW___A_20180402T161411_VV_gamma0-rtc.tif","0.006","0.052","30.806"
"181",180,56,61,"AC-31","A","AC-31A","2019-03-05","50",50,"-15",15.59576559,65.98449828,527055.8412,7318310.67,"12:00:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.012","0.081","38.323"
"183",182,55,60,"AC-33","A","AC-33A","2019-03-05","65",65,"-10",16.03670724,66.06518167,546930.7414,7327563.494,"14:30:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.023","0.168","30.592"
"187",186,58,63,"AC-37","A","AC-37A","2019-03-05","30",30,"-17",15.84881121,65.9380027,538617.1852,7313260.876,"10:00:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.007","0.065","35.237"
"193",192,343,359,"AC-31","C","AC-31C","2019-03-05","50",50,"-15",15.68346284,65.98772306,531034.4515,7318710.707,"12:00:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.019","0.133","37.299"
"197",196,345,361,"AC-37","C","AC-37C","2019-03-05","45",45,"-17",15.89264784,65.90691896,540660.7363,7309824.185,"10:00:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.011","0.082","33.761"
"199",198,199,210,"AC-31","B","AC-31B","2019-03-05","50",50,"-15",15.63274264,66.01705338,528698.4479,7321955.65,"12:00:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/36_2019-03-05_clip/S1B__IW___D_20190305T053658_VV_gamma0-rtc.tif","0.007","0.074","32.688"
