"","X","ID_clean","ID_preclean","Triangle","Corner","TriangleCorner","date","SnowDepth","SnowDepth_Noplus","temperature","x_4326","y_4326","x_3006","y_3006","MiddleTime","mask.tif","angle.tif","VH.tif","VV.tif","point_VH","point_VV","points_angle"
"26",25,6,7,"AC-41","A","AC-41A","2017-03-04","70",70,"-9",16.26443367,65.83598422,557753.5181,7302210.037,"12:50:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.01","0.065","38.307"
"27",26,7,8,"AC-33","A","AC-33A","2017-03-04","35",35,"-7",16.03670724,66.06518167,546930.7414,7327563.494,"14:57:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif","0.034","0.159","36.7"
"28",27,152,160,"AC-30","B","AC-30B","2017-03-06","130",130,"-10",16.3475215,66.10802569,560896.7912,7332605.764,"10:15:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.011","0.063","49.556"
"30",29,12,13,"AC-35","A","AC-35A","2017-03-06","30",30,"-10",16.55332624,65.98731394,570529.3876,7319369.401,"12:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.009","0.074","41.276"
"31",30,12,13,"AC-35","A","AC-35A","2017-03-06","30",30,"-10",16.55332624,65.98731394,570529.3876,7319369.401,"12:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VV_gamma0-rtc.tif","0.011","0.052","46.708"
"32",31,297,310,"AC-34","C","AC-34C","2017-03-06","45",45,"-10",16.38630033,66.02781699,562846.7651,7323705.379,"11:20:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.009","0.063","41.423"
"34",33,298,311,"AC-35","C","AC-35C","2017-03-06","75",75,"-10",16.63015012,66.00485918,573966.1625,7321413.04,"12:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.009","0.061","45.001"
"35",34,298,311,"AC-35","C","AC-35C","2017-03-06","75",75,"-10",16.63015012,66.00485918,573966.1625,7321413.04,"12:47:30","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VV_gamma0-rtc.tif","0.01","0.053","43.913"
"36",35,153,161,"AC-34","B","AC-34B","2017-03-06","125",125,"-10",16.41726798,66.06140904,564165.8276,7327480.284,"11:20:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.009","0.085","38.44"
"38",37,296,309,"AC-30","C","AC-30C","2017-03-06","35",35,"-10",16.40948664,66.08242527,563760.9059,7329814.416,"10:15:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.015","0.108","39.974"
"40",39,11,12,"AC-34","A","AC-34A","2017-03-06","145",145,"-10",16.33018168,66.05549638,560237.5303,7326734.951,"11:20:00","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif","C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif","0.008","0.054","47.607"
