,Nothing,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,middleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
10,150,188,196,AC-29,B,AC-29B,2018-04-02,90,90,-5.0,16.13381444,66.1455831,551164.1776,7336600.318,12:12:30,2018-04-03,plus,0.0,-9.8,05:36:52,8:36:00,S1B_IW_SLC__1SDV_20180403T053652_20180403T053718_010315_012C56_7486,DESCENDING,139,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/16_2018-04-03_clip_100/S1B__IW___D_20180403T053652_VV_gamma0-rtc.tif
11,151,195,203,AC-32,B,AC-32B,2019-03-11,58,58,-15.0,15.96743701,66.06109946,543802.1738,7327058.39,08:15:00,2019-03-12,plus,0.0,-14.7,05:28:51,3:47:00,S1B_IW_SLC__1SDV_20190312T052851_20190312T052918_015317_01CABC_814C,DESCENDING,66,370,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VV_gamma0-rtc.tif
12,153,197,205,AC-42,B,AC-42B,2019-03-11,90,90,-10.0,15.76104404,65.87253495,534712.811,7305912.951,13:37:30,2019-03-12,plus,0.0,-14.7,05:28:51,9:09:00,S1B_IW_SLC__1SDV_20190312T052851_20190312T052918_015317_01CABC_814C,DESCENDING,66,370,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/15_2019-03-12_clip_100/S1B__IW___D_20190312T052851_VV_gamma0-rtc.tif
13,274,414,433,AC-34,C,AC-34C,2022-03-13,75,75,,16.38630033,66.02781699,562846.7651,7323705.379,08:59:00,2022-03-14,plus,0.0,-3.6,05:30:07,4:29:00,S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VV_gamma0-rtc.tif
14,274,414,433,AC-34,C,AC-34C,2022-03-13,75,75,,16.38630033,66.02781699,562846.7651,7323705.379,08:59:00,2022-03-14,plus,0.0,-3.6,05:29:43,4:30:00,S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VV_gamma0-rtc.tif
15,272,413,432,AC-30,C,AC-30C,2022-03-13,75,75,-5.0,16.40948664,66.08242527,563760.9059,7329814.416,10:54:30,2022-03-14,plus,0.0,-3.6,05:30:07,6:24:00,S1A_IW_SLC__1SDV_20220314T053007_20220314T053035_042313_050B38_3653,DESCENDING,66,374,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/6_2022-03-14_clip_100/S1A__IW___D_20220314T053007_VV_gamma0-rtc.tif
16,272,413,432,AC-30,C,AC-30C,2022-03-13,75,75,-5.0,16.40948664,66.08242527,563760.9059,7329814.416,10:54:30,2022-03-14,plus,0.0,-3.6,05:29:43,6:25:00,S1A_IW_SLC__1SDV_20220314T052943_20220314T053010_042313_050B38_6F1B,DESCENDING,66,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/7_2022-03-14_clip_100/S1A__IW___D_20220314T052943_VV_gamma0-rtc.tif
17,164,215,228,AC-42,B,AC-42B,2020-02-27,130,130,-15.0,15.76104404,65.87253495,534712.811,7305912.951,11:45:00,2020-02-28,plus,0.3,-13.4,05:37:28,7:08:00,S1B_IW_SLC__1SDV_20200228T053728_20200228T053755_020465_026C69_3787,DESCENDING,139,374,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/10_2020-02-28_clip_100/S1B__IW___D_20200228T053728_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/10_2020-02-28_clip_100/S1B__IW___D_20200228T053728_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/10_2020-02-28_clip_100/S1B__IW___D_20200228T053728_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/10_2020-02-28_clip_100/S1B__IW___D_20200228T053728_VV_gamma0-rtc.tif
18,164,215,228,AC-42,B,AC-42B,2020-02-27,130,130,-15.0,15.76104404,65.87253495,534712.811,7305912.951,11:45:00,2020-02-28,plus,0.3,-13.4,05:37:03,7:08:00,S1B_IW_SLC__1SDV_20200228T053703_20200228T053730_020465_026C69_96A6,DESCENDING,139,369,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/11_2020-02-28_clip_100/S1B__IW___D_20200228T053703_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/11_2020-02-28_clip_100/S1B__IW___D_20200228T053703_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/11_2020-02-28_clip_100/S1B__IW___D_20200228T053703_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/11_2020-02-28_clip_100/S1B__IW___D_20200228T053703_VV_gamma0-rtc.tif
19,165,247,260,AC-41,B,AC-41B,2021-03-15,140,140,-10.0,16.35196411,65.83569752,561751.7168,7302261.377,05:54:00,2021-03-16,plus,0.1,-7.6,16:23:09,9:29:00,S1A_IW_SLC__1SDV_20210316T162309_20210316T162336_037026_045B8A_178D,ASCENDING,29,213,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/8_2021-03-16_clip_100/S1A__IW___A_20210316T162309_layoverShadowMask.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/8_2021-03-16_clip_100/S1A__IW___A_20210316T162309_localIncidenceAngle.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/8_2021-03-16_clip_100/S1A__IW___A_20210316T162309_VH_gamma0-rtc.tif,C:/Users/trygg/Documents/Master_project/Data/Processed_granules/processed_granules_clip_era5/8_2021-03-16_clip_100/S1A__IW___A_20210316T162309_VV_gamma0-rtc.tif
