SD_interpolation,Inpunt_SD,ERA5_or_measurement
118.91785998900241,68.2003402709961,ERA5
135.52398543910837,70.5459213256836,ERA5
133.7153639641708,74.34677124023438,ERA5
116.83167489408079,77.82965850830078,ERA5
100.98548956059967,72.11465454101562,ERA5
87.46766512928413,66.88233947753906,ERA5
78.63692894362794,61.971473693847656,ERA5
105.85961571417435,54.018367767333984,ERA5
112.8624324648596,55.67445755004883,ERA5
110.74169964420138,59.84870147705078,ERA5
101.17596806594298,63.993316650390625,ERA5
88.6905200282005,59.45508575439453,ERA5
78.35376431406249,63.0040397644043,ERA5
71.34198326068804,63.09578323364258,ERA5
73.75435638427722,32.93452072143555,ERA5
92.97582972675762,43.24477767944336,ERA5
90.83869544967244,48.33448028564453,ERA5
85.19038127148079,54.874813079833984,ERA5
77.87429563213128,59.958011627197266,ERA5
70.49707656465804,61.49125671386719,ERA5
57.21687698364209,56.92873764038086,ERA5
112.05120181677151,170.0,Measurement
115.68646205544123,45.0,Measurement
111.31314087468121,95.0,Measurement
114.13878325277693,90.0,Measurement
110.47273180700861,100.0,Measurement
114.27086695911431,80.0,Measurement
